congress,chamber,icpsr,adjust_d1,district_code,state_abbrev,party_code,bioname,d1,d1_previous,d1_rolling,d1_norm,group,x_d1,a_d1,b_d1
91,"House",7046,1.605999,10,"WI","R","O'KONSKI, Alvin Edward",1.375,,0,1.375,1,.4391531,-.0887191,.9114075
91,"House",7995,-.165986,33,"NY","R","ROBISON, Howard Winfield",-.24,,0,-.24,1,.0723437,-.0887191,.9114075
91,"House",1611,-.2855812,10,"NY","D","CELLER, Emanuel",-.349,,0,-.349,1,-.4212463,-.0887191,.9114075
91,"House",8814,.1796333,22,"IL","R","SPRINGER, William Lee",.075,,0,.075,1,.456385,-.0887191,.9114075
91,"House",10717,-.1484307,2,"AL","R","DICKINSON, William Louis",-.224,,0,-.224,1,.9402564,-.0887191,.9114075
91,"House",10773,-.1429447,11,"OH","R","STANTON, John William",-.219,,0,-.219,1,.132294,-.0887191,.9114075
91,"House",7232,.054552,1,"TX","D","PATMAN, John William Wright",-.039,,0,-.039,1,-.0357216,-.0887191,.9114075
91,"House",8549,-.0354187,16,"CA","D","SISK, Bernice Frederic",-.121,,0,-.121,1,.2258202,-.0887191,.9114075
91,"House",10091,-.2921644,7,"NJ","R","WIDNALL, William Beck",-.355,,0,-.355,1,.2905835,-.0887191,.9114075
91,"House",11025,1.643304,9,"TN","R","KUYKENDALL, Dan Heflin",1.409,,0,1.409,1,1.233438,-.0887191,.9114075
91,"House",10521,1.64879,19,"PA","R","GOODLING, George Atlee",1.414,,0,1.414,1,1.286128,-.0887191,.9114075
91,"House",11013,-.0836957,8,"TX","D","ECKHARDT, Robert Christian",-.165,,0,-.165,1,-1.0827,-.0887191,.9114075
91,"House",8564,.1653697,3,"WV","D","SLACK, John Mark, Jr.",.062,,0,.062,1,.4140883,-.0887191,.9114075
91,"House",10523,4.569547,7,"MO","R","HALL, Durward Gorham",4.076,,0,4.076,1,3.274378,-.0887191,.9114075
91,"House",10627,-.3228861,2,"CT","D","ST. ONGE, William Leon",-.383,,0,-.383,1,-.3228861,-.0887191,.9114075
91,"House",11005,1.630137,3,"GA","D","BRINKLEY, Jack Thomas",1.397,,0,1.397,1,.5399889,-.0887191,.9114075
91,"House",7081,-.0474879,8,"MA","D","O'NEILL, Thomas Philip, Jr. (Tip)",-.132,,0,-.132,1,-.4708227,-.0887191,.9114075
91,"House",10525,1.654276,6,"OH","R","HARSHA, William Howard",1.419,,0,1.419,1,.544165,-.0887191,.9114075
91,"House",10583,-1.935776,9,"CA","D","EDWARDS, William Donlon (Don)",-1.853,,0,-1.853,1,-1.396398,-.0887191,.9114075
91,"House",10723,-.1100286,3,"CO","D","EVANS, Frank Edward",-.189,,0,-.189,1,-.0484557,-.0887191,.9114075
91,"House",10591,-.1978049,5,"PA","D","GREEN, William Joseph",-.269,,0,-.269,1,-1.378303,-.0887191,.9114075
91,"House",10533,-.0957649,3,"MN","R","MacGREGOR, Clark",-.176,,0,-.176,1,-.0957649,-.0887191,.9114075
91,"House",10768,.0172471,21,"NY","D","SCHEUER, James Haas",-.073,,0,-.073,1,-1.027226,-.0887191,.9114075
91,"House",10534,-.1978049,3,"NE","R","MARTIN, David Thomas",-.269,,0,-.269,1,1.061964,-.0887191,.9114075
91,"House",2383,-.1747636,9,"WI","R","DAVIS, Glenn Robert",-.248,,0,-.248,1,.9493981,-.0887191,.9114075
91,"House",11003,.1829249,7,"TN","D","BLANTON, Leonard Ray",.078,,0,.078,1,.1594694,-.0887191,.9114075
91,"House",3171,-.0617516,21,"TX","D","FISHER, Ovie Clark",-.145,,0,-.145,1,.9911556,-.0887191,.9114075
91,"House",2476,.0084695,9,"NY","D","DELANEY, James Joseph",-.081,,0,-.081,1,-.211247,-.0887191,.9114075
91,"House",2065,-.0869873,18,"PA","R","CORBETT, Robert James",-.168,,0,-.168,1,-.0869873,-.0887191,.9114075
91,"House",11017,-.1506251,4,"NC","D","GALIFIANAKIS, Nick",-.226,,0,-.226,1,-.0837174,-.0887191,.9114075
91,"House",6353,3.664353,6,"SC","D","McMILLAN, John Lanneau",3.251,,0,3.251,1,2.086761,-.0887191,.9114075
91,"House",2009,-.1111258,1,"MA","R","CONTE, Silvio Ottavio",-.19,,0,-.19,1,-.7589892,-.0887191,.9114075
91,"House",10550,-.0617516,4,"TX","D","ROBERTS, Herbert Ray",-.145,,0,-.145,1,.6533188,-.0887191,.9114075
91,"House",4891,1.64879,5,"OK","D","JARMAN, John",1.414,,0,1.414,1,.5334971,-.0887191,.9114075
91,"House",10551,-2.072927,8,"NY","D","ROSENTHAL, Benjamin Stanley",-1.978,,0,-1.978,1,-1.55115,-.0887191,.9114075
91,"House",824,.1719529,2,"LA","D","BOGGS, Thomas Hale, Sr.",.068,,0,.068,1,.3421853,-.0887191,.9114075
91,"House",5924,-.0891817,19,"TX","D","MAHON, George Herman",-.17,,0,-.17,1,.718204,-.0887191,.9114075
