congress,chamber,icpsr,adjust_d1,last_name,first_name,state,d1,district_code,party_code,bioguide_id,d1_previous,d1_rolling,d1_norm,group,x_d1,a_d1,b_d1
92,"House",13044,10.51479,"TERRY","John","NY",23,34,200,"T000134",,0,23,1,10.51479,12.97744,.9531867
92,"House",10520,34.64437,"GONZALEZ","Henry","TX",46,20,100,"G000272",,0,46,1,50.20445,12.97744,.9531867
92,"House",10609,75.55976,"MINISH","Joseph","NJ",85,11,100,"M000796",,0,85,1,79.99207,12.97744,.9531867
92,"House",13040,82.90355,"SEIBERLING","John","OH",92,14,100,"S000230",,0,92,1,96.59103,12.97744,.9531867
92,"House",11046,-5.221896,"SANDMAN","Charles","NJ",8,2,200,"S000045",,0,8,1,6.966646,12.97744,.9531867
92,"House",10786,18.90769,"BROWN","Clarence","OH",31,7,200,"B000910",,0,31,1,12.97136,12.97744,.9531867
92,"House",2594,75.55976,"DIGGS","Charles","MI",85,13,100,"D000344",,0,85,1,52.46641,12.97744,.9531867
92,"House",10391,10.51479,"WRIGHT","James","TX",23,12,100,"W000763",,0,23,1,26.2643,12.97744,.9531867
92,"House",4043,18.90769,"HANSEN","Julia","WA",31,3,100,"H000174",,0,31,1,20.06339,12.97744,.9531867
92,"House",9623,82.90355,"VANIK","Charles","OH",92,22,100,"V000047",,0,92,1,86.75246,12.97744,.9531867
92,"House",10766,2.121891,"RONCALIO","Teno","WY",15,1,100,"R000421",,0,15,1,36.89318,12.97744,.9531867
92,"House",5924,2.121891,"MAHON","George","TX",15,19,100,"M000065",,0,15,1,3.903475,12.97744,.9531867
92,"House",3078,82.90355,"FASCELL","Dante","FL",92,12,100,"F000041",,0,92,1,75.09818,12.97744,.9531867
92,"House",10588,67.16686,"GIBBONS","Sam","FL",77,6,100,"G000153",,0,77,1,56.50967,12.97744,.9531867
92,"House",10618,26.25148,"REID","Ogden","NY",38,26,200,"R000150",,0,38,1,26.25148,12.97744,.9531867
92,"House",10746,-13.6148,"LONG","Speedy","LA",0,8,100,"L000429",,0,0,1,-13.6148,12.97744,.9531867
92,"House",3242,-5.221896,"FLYNT","John","GA",8,6,100,"F000229",,0,8,1,-7.183704,12.97744,.9531867
92,"House",10421,34.64437,"YATES","Sidney","IL",46,9,100,"Y000013",,0,46,1,82.86703,12.97744,.9531867
92,"House",4514,26.25148,"HOLIFIELD","Chester","CA",38,19,100,"H000713",,0,38,1,27.74329,12.97744,.9531867
92,"House",13012,26.25148,"DENHOLM","Frank","SD",38,1,100,"D000234",,0,38,1,32.46332,12.97744,.9531867
92,"House",10778,58.77396,"VIGORITO","Joseph","PA",69,24,100,"V000098",,0,69,1,63.1118,12.97744,.9531867
92,"House",3480,18.90769,"GARMATZ","Edward","MD",31,3,100,"G000071",,0,31,1,18.90769,12.97744,.9531867
92,"House",11067,34.64437,"GAYDOS","Joseph","PA",46,20,100,"G000105",,0,46,1,44.08758,12.97744,.9531867
92,"House",10732,75.55976,"HAMILTON","Lee","IN",85,9,100,"H000114",,0,85,1,68.0561,12.97744,.9531867
92,"House",10707,2.121891,"CABELL","Earle","TX",15,5,100,"C000002",,0,15,1,2.121891,12.97744,.9531867
