congress,chamber,icpsr,adjust_d1,bioname,party_code,state_abbrev,district_code,d1,correctyea,wrongyea,correctnay,wrongnay,gmp,cc,se1d,d1_previous,d1_rolling,d1_norm,group,x_d1,a_d1,b_d1
91,"House",9056,.4053792,"STUBBLEFIELD, Frank Albert","D","KY",1,.5783793,17,1,11,0,.8441348,.9655172,0,,0,.5783793,1,.3956711,.1806121,.9812224
91,"House",10738,.0289249,"HICKS, Floyd Verne","D","WA",6,.2089939,21,3,5,3,.6784378,.8125,0,,0,.2089939,1,.0484405,.1806121,.9812224
91,"House",9072,.0088063,"SULLIVAN, Leonor Kretzer","D","MO",3,.1892531,16,4,6,0,.6916224,.8461539,0,,0,.1892531,1,.0464352,.1806121,.9812224
91,"House",3967,-.3217432,"HALPERN, Seymour","R","NY",6,-.1350895,18,0,5,0,.8971459,1,0,,0,-.1350895,1,-.3034363,.1806121,.9812224
91,"House",10091,.2835135,"WIDNALL, William Beck","R","NJ",7,.4588019,13,1,11,2,.801886,.8888889,0,,0,.4588019,1,.3094031,.1806121,.9812224
91,"House",10463,.1216142,"ZABLOCKI, Clement John","D","WI",4,.2999427,16,4,7,4,.6832468,.7419355,0,,0,.2999427,1,.0023916,.1806121,.9812224
91,"House",9017,.1025145,"STRATTON, Samuel Studdiford","D","NY",35,.2812017,13,3,5,5,.669443,.6923077,0,,0,.2812017,1,.1859729,.1806121,.9812224
91,"House",9241,.4817762,"TEAGUE, Olin Earl","D","TX",6,.6533418,14,1,8,1,.7550769,.9166667,0,,0,.6533418,1,.4713346,.1806121,.9812224
91,"House",12000,.3951208,"ALEXANDER, William Vollie (Bill), Jr.","D","AR",1,.5683135,14,2,9,0,.8090911,.92,0,,0,.5683135,1,.1697127,.1806121,.9812224
91,"House",10520,.171406,"GONZÁLEZ, Henry B.","D","TX",20,.3487995,17,3,9,3,.7080638,.8125,0,,0,.3487995,1,-.0160262,.1806121,.9812224
91,"House",10525,.2333393,"HARSHA, William Howard","R","OH",6,.4095699,16,2,8,4,.6718399,.8,0,,0,.4095699,1,.2935708,.1806121,.9812224
91,"House",11022,.4598062,"HUNT, John Edmund","R","NJ",1,.6317843,18,0,9,3,.7979051,.9,0,,0,.6317843,1,.4524158,.1806121,.9812224
91,"House",10566,-.271521,"UDALL, Morris King","D","AZ",2,-.0858103,17,3,6,1,.7810637,.8518519,0,,0,-.0858103,1,-.1594154,.1806121,.9812224
91,"House",10580,.5066503,"CLAWSON, Delwin Morgan","R","CA",23,.6777488,14,0,4,1,.7994875,.9473684,0,,0,.6777488,1,.6941007,.1806121,.9812224
91,"House",10569,.4183207,"ANDREWS, Mark","R","ND",1,.5910778,12,2,10,2,.7691901,.8461539,0,,0,.5910778,1,.3503069,.1806121,.9812224
91,"House",4043,.1853758,"HANSEN, Julia Butler","D","WA",3,.362507,10,2,5,3,.6979883,.75,0,,0,.362507,1,.1905996,.1806121,.9812224
91,"House",10587,.3473469,"FUQUA, Don","D","FL",2,.5214367,15,2,11,1,.8155457,.8965517,0,,0,.5214367,1,.2089452,.1806121,.9812224
91,"House",6548,-.0799896,"MINSHALL, William Edwin, Jr.","R","OH",23,.1021246,20,1,4,1,.8172054,.9230769,0,,0,.1021246,1,.0075727,.1806121,.9812224
91,"House",10601,-.015094,"LONG, Clarence Dickinson","D","MD",2,.1658015,22,3,5,1,.6883719,.8709677,0,,0,.1658015,1,-.092802,.1806121,.9812224
91,"House",10512,.4154929,"DAVIS, John William","D","GA",7,.5883031,12,4,10,0,.8079816,.8461539,0,,0,.5883031,1,.4147799,.1806121,.9812224
91,"House",10609,-.1089621,"MINISH, Joseph George","D","NJ",11,.0736961,20,6,6,0,.7201644,.8125,0,,0,.0736961,1,-.31754,.1806121,.9812224
91,"House",10613,.0741469,"PATTEN, Edward James","D","NJ",15,.2533668,18,5,7,2,.6788837,.78125,0,,0,.2533668,1,-.0436162,.1806121,.9812224
91,"House",91043,-.4329232,"RIEGLE, Donald Wayne, Jr.","R","MI",7,-.2441818,20,0,6,1,.909593,.962963,0,,0,-.2441818,1,-.4117481,.1806121,.9812224
91,"House",10620,-.036534,"ROONEY, Frederick Bernard","D","PA",15,.1447642,18,4,5,1,.7523278,.8214286,0,,0,.1447642,1,-.0307186,.1806121,.9812224
91,"House",10700,-.2726421,"ADAMS, Brockman (Brock)","D","WA",7,-.0869104,22,1,6,2,.8682724,.9032258,0,,0,-.0869104,1,-.1892036,.1806121,.9812224
91,"House",11045,.0956413,"RUPPE, Philip Edward","R","MI",11,.2744575,16,2,1,8,.5771106,.6296296,0,,0,.2744575,1,.1905558,.1806121,.9812224
91,"House",4247,-.0060167,"HAYS, Wayne Levere","D","OH",18,.1747084,20,2,3,0,.7845311,.92,0,,0,.1747084,1,-.1454719,.1806121,.9812224
91,"House",1763,.2266097,"CLARK, Frank Monroe","D","PA",25,.4029666,10,2,9,1,.742594,.8636364,0,,0,.4029666,1,.2307697,.1806121,.9812224
