congress,chamber,icpsr,district_code,state_abbrev,party_code,bioname,d1
91,House,195,3,AL,D,"ANDREWS, George William",3.349
91,House,5058,8,AL,D,"JONES, Robert Emmett, Jr.",0.136
91,House,10706,6,AL,R,"BUCHANAN, John Hall, Jr.",-0.194
91,House,10717,2,AL,R,"DICKINSON, William Louis",-0.224
91,House,10721,1,AL,R,"EDWARDS, William Jackson (Jack)",-0.361
91,House,11000,7,AL,D,"BEVILL, Tom",-0.153
91,House,11037,4,AL,D,"NICHOLS, William Flynt",-0.186
91,House,12014,5,AL,D,"FLOWERS, Walter",-0.198
91,House,11039,1,AK,R,"POLLOCK, Howard Wallace",-0.043
91,House,7845,1,AZ,R,"RHODES, John Jacob",-0.24
91,House,10566,2,AZ,D,"UDALL, Morris King",-2.034
91,House,11050,3,AZ,R,"STEIGER, Sam",-0.119
91,House,6532,2,AR,D,"MILLS, Wilbur Daigh",2.013
91,House,10791,4,AR,D,"PRYOR, David Hampton",-0.165
91,House,11020,3,AR,R,"HAMMERSCHMIDT, John Paul",1.435
91,House,12000,1,AR,D,"ALEXANDER, William Vollie (Bill), Jr.",-0.188
91,House,1911,7,CA,D,"COHELAN, Jeffery",-1.973
91,House,3867,10,CA,R,"GUBSER, Charles Samuel",-0.042
91,House,4514,19,CA,D,"HOLIFIELD, Chester Earl",-0.174
91,House,4592,32,CA,R,"HOSMER, Craig",-0.065
91,House,4957,2,CA,D,"JOHNSON, Harold Terry",-0.18
91,House,5694,24,CA,R,"LIPSCOMB, Glenard Paul",0.02
91,House,5929,6,CA,R,"MAILLIARD, William Somers",0.061
91,House,6240,15,CA,D,"McFALL, John Joseph",-0.169
91,House,6483,8,CA,D,"MILLER, George Paul",-0.137
91,House,6756,3,CA,D,"MOSS, John Emerson",0.023
91,House,8549,16,CA,D,"SISK, Bernice Frederic",-0.121
91,House,8628,20,CA,R,"SMITH, H. Allen",-0.364
91,House,9240,13,CA,R,"TEAGUE, Charles McKevett",0.065
91,House,9578,35,CA,R,"UTT, James Boyd",1.67
