last_name,first_name,congress,state,d1,chamber,icpsr,district_code,party_code,bioguide_id
ABBITT,Watkins,92,VA,8,House,2,4,100,A000002
ABDNOR,James,93,SD,20,House,14000,2,200,A000009
ABDNOR,James,94,SD,20.5,House,14000,2,200,A000009
ABDNOR,James,95,SD,17,House,14000,2,200,A000009
ABDNOR,James,96,SD,21.5,House,14000,2,200,A000009
ABERCROMBIE,Neil,99,HI,100,House,15245,1,100,A000014
ABERCROMBIE,Neil,102,HI,82.5,House,15245,1,100,A000014
ABERCROMBIE,Neil,103,HI,83.5,House,15245,1,100,A000014
ABERCROMBIE,Neil,104,HI,92,House,15245,1,100,A000014
ABERCROMBIE,Neil,105,HI,80,House,15245,1,100,A000014
ABERCROMBIE,Neil,106,HI,90,House,15245,1,100,A000014
ABERCROMBIE,Neil,107,HI,84,House,15245,1,100,A000014
ABERCROMBIE,Neil,108,HI,79,House,15245,1,100,A000014
ABERCROMBIE,Neil,109,HI,71,House,15245,1,100,A000014
ABERCROMBIE,Neil,110,HI,73.5,House,15245,1,100,A000014
ABERCROMBIE,Neil,111,HI,100,House,15245,1,100,A000014
ABERNETHY,Thomas,92,MS,0,House,13,1,100,A000016
ABOUREZK,James,92,SD,54,House,13000,2,100,A000017
ABRAHAM,Ralph,114,LA,3,House,21522,5,200,A000374
ABRAHAM,Ralph,115,LA,0,House,21522,5,200,A000374
ABZUG,Bella,92,NY,100,House,13001,19,100,A000018
ABZUG,Bella,93,NY,94,House,13001,20,100,A000018
ABZUG,Bella,94,NY,73.5,House,13001,20,100,A000018
ACKERMAN,Gary,98,NY,83,House,15000,7,100,A000022
ACKERMAN,Gary,99,NY,86,House,15000,7,100,A000022
ACKERMAN,Gary,100,NY,100,House,15000,7,100,A000022
ACKERMAN,Gary,101,NY,89,House,15000,7,100,A000022
ACKERMAN,Gary,102,NY,76,House,15000,7,100,A000022
ACKERMAN,Gary,103,NY,77,House,15000,5,100,A000022
ACKERMAN,Gary,104,NY,88.5,House,15000,5,100,A000022
ACKERMAN,Gary,105,NY,86.5,House,15000,5,100,A000022
ACKERMAN,Gary,106,NY,93,House,15000,5,100,A000022
ACKERMAN,Gary,107,NY,100,House,15000,5,100,A000022
ACKERMAN,Gary,108,NY,95,House,15000,5,100,A000022
ACKERMAN,Gary,109,NY,93,House,15000,5,100,A000022
ACKERMAN,Gary,110,NY,92.5,House,15000,5,100,A000022
ACKERMAN,Gary,111,NY,80,House,15000,5,100,A000022
ACKERMAN,Gary,112,NY,84,House,15000,5,100,A000022
ADAMS,Alma,113,NC,100,House,21545,12,100,A000370
ADAMS,Alma,114,NC,98.5,House,21545,12,100,A000370
ADAMS,Alma,115,NC,100,House,21545,12,100,A000370
ADAMS,Brockman,92,WA,100,House,10700,7,100,A000031
ADAMS,Brockman,93,WA,75,House,10700,7,100,A000031
ADAMS,Brockman,94,WA,56.5,House,10700,7,100,A000031
ADAMS,Sandra,112,FL,9,House,21120,24,200,A000366
ADDABBO,Joseph,92,NY,77,House,10500,7,100,A000052
ADDABBO,Joseph,93,NY,73,House,10500,7,100,A000052
ADDABBO,Joseph,94,NY,65,House,10500,7,100,A000052
ADDABBO,Joseph,95,NY,57,House,10500,7,100,A000052
ADDABBO,Joseph,96,NY,60,House,10500,7,100,A000052
ADDABBO,Joseph,97,NY,68,House,10500,7,100,A000052
ADDABBO,Joseph,98,NY,75,House,10500,6,100,A000052
