congress,chamber,icpsr,name,party,state,district,static_i7,unadjusted_i7,adjusted_i7,static_w7,unadjusted_w7,adjusted_w7
91,House,195,"ANDREWS, George William",D,AL,3,1.6,NA,3.771879,NA,3.349,NA
91,House,5058,"JONES, Robert Emmett, Jr.",D,AL,8,0.166,0.506,0.2465628,0.045,0.136,0.3312756
91,House,10706,"BUCHANAN, John Hall, Jr.",R,AL,6,-0.204,0.265,-0.1155146,-0.026,-0.194,0.0858191
91,House,10717,"DICKINSON, William Louis",R,AL,2,0.912,0.562,-0.1484307,0.226,-0.224,0.3885719
91,House,10721,"EDWARDS, William Jackson (Jack)",R,AL,1,0.535,0.6,-0.2987477,0.132,-0.361,0.4271594
91,House,11000,"BEVILL, Tom",D,AL,7,0.041,0.614,-0.0705292,0.056,-0.153,0.4412968
91,House,11037,"NICHOLS, William Flynt",D,AL,4,0.544,0.623,-0.106737,0.142,-0.186,0.4511293
91,House,12014,"FLOWERS, Walter",D,AL,5,0.521,0.548,-0.1199034,0.121,-0.198,0.374213
91,House,11039,"POLLOCK, Howard Wallace",R,AK,1,-0.193,NA,0.0501632,NA,-0.043,NA
91,House,7845,"RHODES, John Jacob",R,AZ,1,0.47,0.698,-0.165986,0.115,-0.24,0.5275424
91,House,10566,"UDALL, Morris King",D,AZ,2,-0.964,-0.086,-2.13437,-0.219,-2.034,-0.271521
91,House,11050,"STEIGER, Sam",R,AZ,3,1.838,0.811,-0.0332243,0.399,-0.119,0.6422383
91,House,6532,"MILLS, Wilbur Daigh",D,AR,2,0.121,0.69,2.306015,0.046,2.013,0.5189591
91,House,10791,"PRYOR, David Hampton",D,AR,4,-0.843,0.136,-0.0836957,-0.141,-0.165,-0.0450323
91,House,11020,"HAMMERSCHMIDT, John Paul",R,AR,3,1.12,0.715,1.671831,0.276,1.435,0.5447376
91,House,12000,"ALEXANDER, William Vollie (Bill), Jr.",D,AR,1,-0.072,0.568,-0.1089314,0.012,-0.188,0.3951208
91,House,1911,"COHELAN, Jeffery",D,CA,7,-1.517,NA,-2.067441,NA,-1.973,NA
91,House,3867,"GUBSER, Charles Samuel",R,CA,10,0.08,0.295,0.0512604,0.032,-0.042,0.1167914
91,House,4514,"HOLIFIELD, Chester Earl",D,CA,19,-0.134,0.557,-0.0935705,-0.008,-0.174,0.3839094
91,House,4592,"HOSMER, Craig",R,CA,32,0.408,0.558,0.0260247,0.068,-0.065,0.3843474
91,House,4957,"JOHNSON, Harold Terry",D,CA,2,-0.265,0.557,-0.1001537,-0.03,-0.18,0.3834815
91,House,5694,"LIPSCOMB, Glenard Paul",R,CA,24,-0.077,NA,0.1192871,NA,0.02,NA
91,House,5929,"MAILLIARD, William Somers",R,CA,6,-0.393,0.321,0.1642725,-0.058,0.061,0.142617
91,House,6240,"McFALL, John Joseph",D,CA,15,-0.314,0.655,-0.0880845,-0.042,-0.169,0.4834079
91,House,6483,"MILLER, George Paul",D,CA,8,-0.203,0.335,-0.0529739,-0.008,-0.137,0.1573704
91,House,6756,"MOSS, John Emerson",D,CA,3,-1.454,-0.03,0.1225787,-0.306,0.023,-0.2147219
91,House,8549,"SISK, Bernice Frederic",D,CA,16,0.029,0.553,-0.0354187,0.022,-0.121,0.3799829
