group,congress,chamber,icpsr,bioname,party_code,state_abbrev,district_code,coord1D,correctYea,wrongYea,correctNay,wrongNay,GMP,CC,se1D
1,NA,NA,99904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,10721,"EDWARDS, William Jackson (Jack)",R,AL,1,0.599750519,14,3,11,0,0.745241284,0.892857143,0
1,92,House,10721,"EDWARDS, William Jackson (Jack)",R,AL,1,0.599750519,14,3,11,0,0.745241284,0.892857143,0
1,91,House,10717,"DICKINSON, William Louis",R,AL,2,0.561887622,12,0,10,0,0.879558444,1,0
1,92,House,10717,"DICKINSON, William Louis",R,AL,2,0.561887622,12,0,10,0,0.879558444,1,0
1,91,House,195,"ANDREWS, George William",D,AL,3,NA,NA,NA,NA,NA,NA,NA,NA
1,92,House,195,"ANDREWS, George William",D,AL,3,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,11037,"NICHOLS, William Flynt",D,AL,4,0.623270273,11,5,12,0,0.720394671,0.821428571,0
1,92,House,11037,"NICHOLS, William Flynt",D,AL,4,0.623270273,11,5,12,0,0.720394671,0.821428571,0
1,91,House,12014,"FLOWERS, Walter",D,AL,5,0.547798276,13,3,12,0,0.816519022,0.892857143,0
1,92,House,12014,"FLOWERS, Walter",D,AL,5,0.547798276,13,3,12,0,0.816519022,0.892857143,0
1,91,House,10706,"BUCHANAN, John Hall, Jr.",R,AL,6,0.264819801,20,3,8,0,0.771179318,0.903225806,0
1,92,House,10706,"BUCHANAN, John Hall, Jr.",R,AL,6,0.264819801,20,3,8,0,0.771179318,0.903225806,0
1,91,House,11000,"BEVILL, Tom",D,AL,7,0.613622427,13,4,9,0,0.718469381,0.846153846,0
1,92,House,11000,"BEVILL, Tom",D,AL,7,0.613622427,13,4,9,0,0.718469381,0.846153846,0
1,91,House,5058,"JONES, Robert Emmett, Jr.",D,AL,8,0.50566721,14,2,8,0,0.816444576,0.916666667,0
1,92,House,5058,"JONES, Robert Emmett, Jr.",D,AL,8,0.50566721,14,2,8,0,0.816444576,0.916666667,0
1,91,House,11039,"POLLOCK, Howard Wallace",R,AK,1,NA,NA,NA,NA,NA,NA,NA,NA
1,91,House,7845,"RHODES, John Jacob",R,AZ,1,0.698248506,12,1,11,1,0.804005861,0.92,0
1,92,House,7845,"RHODES, John Jacob",R,AZ,1,0.698248506,12,1,11,1,0.804005861,0.92,0
1,91,House,10566,"UDALL, Morris King",D,AZ,2,-0.085810348,17,3,6,1,0.781063676,0.851851852,0
1,92,House,10566,"UDALL, Morris King",D,AZ,2,-0.085810348,17,3,6,1,0.781063676,0.851851852,0
1,91,House,11050,"STEIGER, Sam",R,AZ,3,0.810790777,11,3,10,4,0.729566693,0.75,0
1,92,House,11050,"STEIGER, Sam",R,AZ,3,0.810790777,11,3,10,4,0.729566693,0.75,0
1,91,House,12000,"ALEXANDER, William Vollie (Bill), Jr.",D,AR,1,0.568313479,14,2,9,0,0.809091091,0.92,0
1,92,House,12000,"ALEXANDER, William Vollie (Bill), Jr.",D,AR,1,0.568313479,14,2,9,0,0.809091091,0.92,0
1,91,House,6532,"MILLS, Wilbur Daigh",D,AR,2,0.689826429,8,2,6,1,0.689945817,0.823529412,0
1,92,House,6532,"MILLS, Wilbur Daigh",D,AR,2,0.689826429,8,2,6,1,0.689945817,0.823529412,0
1,91,House,11020,"HAMMERSCHMIDT, John Paul",R,AR,3,0.715120912,16,3,11,2,0.733305991,0.84375,0
1,92,House,11020,"HAMMERSCHMIDT, John Paul",R,AR,3,0.715120912,16,3,11,2,0.733305991,0.84375,0
1,91,House,10791,"PRYOR, David Hampton",D,AR,4,0.136425465,9,3,4,0,0.72594744,0.8125,0
1,92,House,10791,"PRYOR, David Hampton",D,AR,4,0.136425465,9,3,4,0,0.72594744,0.8125,0
1,91,House,10579,"CLAUSEN, Donald Holst",R,CA,1,0.38526091,17,2,9,3,0.718342245,0.838709677,0
1,92,House,10579,"CLAUSEN, Donald Holst",R,CA,1,0.38526091,17,2,9,3,0.718342245,0.838709677,0
