congress	icpsrlegis	icpsrstate	dist	lstate	party2	name1	name	chamber	south	south11
1	4998	1	0	CONNECT	5000	JOHNSON	"JOHNSON, WILLIAM SAMUEL"	2	0	0
1	2936	1	0	CONNECT	5000	ELLSWORTH	"ELLSWORTH, OLIVER"	2	0	0
1	507	11	0	DELAWAR	4000	BASSETT	"BASSETT, RICHARD"	2	1	0
1	7762	11	0	DELAWAR	5000	READ	"READ, GEORGE"	2	1	0
1	3128	44	0	GEORGIA	4000	FEW	"FEW, WILLIAM"	2	1	1
1	3877	44	0	GEORGIA	4000	GUNN	"GUNN, JAMES -GEORGIA-"	2	1	1
1	1536	52	0	MARYLAN	5000	CARROLL	"CARROLL, CHARLES%OF CARRO"	2	1	0
1	4333	52	0	MARYLAN	5000	HENRY	"HENRY, JOHN -MARYLAND-"	2	1	0
1	2307	3	0	MASSACH	5000	DALTON	"DALTON, TRISTRAM"	2	0	0
1	9028	3	0	MASSACH	5000	STRONG	"STRONG, CALEB"	2	0	0
1	5449	4	0	NEW HAM	5000	LANGDON	"LANGDON, JOHN"	2	0	0
1	10272	4	0	NEW HAM	4000	WINGATE	"WINGATE, PAINE"	2	0	0
1	2943	12	0	NEW JER	5000	ELMER	"ELMER, JONATHAN"	2	0	0
1	7231	12	0	NEW JER	5000	PATERSON	"PATERSON, WILLIAM"	2	0	0
1	2576	12	0	NEW JER	5000	DICKINSON	"DICKINSON, PHILEMON"	2	0	0
1	8282	13	0	NEW YOR	5000	SCHUYLER	"SCHUYLER, PHILIP JOHN"	2	0	0
1	5270	13	0	NEW YOR	5000	KING	"KING, RUFUS"	2	0	0
1	4212	47	0	NORTH C	5000	HAWKINS	"HAWKINS, BENJAMIN"	2	1	1
1	5012	47	0	NORTH C	5000	JOHNSTON	"JOHNSTON, SAMUEL"	2	1	1
1	5891	14	0	PENNSYL	4000	MACLAY	"MACLAY, WILLIAM -PENNSYLV"	2	0	0
1	6712	14	0	PENNSYL	5000	MORRIS	"MORRIS, ROBERT"	2	0	0
1	8845	5	0	RHODE I	4000	STANTON	"STANTON, JOSEPH, JR."	2	0	0
1	3315	5	0	RHODE I	5000	FOSTER	"FOSTER, THEODORE"	2	0	0
1	1346	48	0	SOUTH C	5000	BUTLER	"BUTLER, PIERCE"	2	1	1
1	4837	48	0	SOUTH C	5000	IZARD	"IZARD, RALPH"	2	1	1
1	5565	40	0	VIRGINI	4000	LEE	"LEE, RICHARD HENRY"	2	1	1
1	3771	40	0	VIRGINI	4000	GRAYSON	"GRAYSON, WILLIAM"	2	1	1
1	9747	40	0	VIRGINI	5000	WALKER	"WALKER, JOHN"	2	1	1
1	6594	40	0	VIRGINI	4000	MONROE	"MONROE, JAMES -VIRGINIA-"	2	1	1
2	2936	1	0	CONNECT	5000	ELLSWORTH	"ELLSWORTH, OLIVER"	2	0	0
2	8457	1	0	CONNECT	5000	SHERMAN	"SHERMAN, ROGER"	2	0	0
2	507	11	0	DELAWAR	5000	BASSETT	"BASSETT, RICHARD"	2	1	0
2	7762	11	0	DELAWAR	5000	READ	"READ, GEORGE"	2	1	0
2	3877	44	0	GEORGIA	4000	GUNN	"GUNN, JAMES -GEORGIA-"	2	1	1
2	3128	44	0	GEORGIA	4000	FEW	"FEW, WILLIAM"	2	1	1
2	2866	51	0	KENTUCK	4000	EDWARDS	"EDWARDS, JOHN -KENTUCKY-"	2	1	0
2	1118	51	0	KENTUCK	4000	BROWN	"BROWN, JOHN -VIRGINIA-"	2	1	0
2	4333	52	0	MARYLAN	5000	HENRY	"HENRY, JOHN -MARYLAND-"	2	1	0
2	1536	52	0	MARYLAN	5000	CARROLL	"CARROLL, CHARLES%OF CARRO"	2	1	0
2	7564	52	0	MARYLAN	5000	POTTS	"POTTS, RICHARD"	2	1	0
2	9028	3	0	MASSACH	5000	STRONG	"STRONG, CALEB"	2	0	0
2	1384	3	0	MASSACH	5000	CABOT	"CABOT, GEORGE"	2	0	0
2	5449	4	0	NEW HAM	5000	LANGDON	"LANGDON, JOHN"	2	0	0
2	10272	4	0	NEW HAM	4000	WINGATE	"WINGATE, PAINE"	2	0	0
2	2576	12	0	NEW JER	5000	DICKINSON	"DICKINSON, PHILEMON"	2	0	0
2	8150	12	0	NEW JER	5000	RUTHERFUR	"RUTHERFURD, JOHN"	2	0	0
2	5270	13	0	NEW YOR	5000	KING	"KING, RUFUS"	2	0	0
2	1302	13	0	NEW YOR	4000	BURR	"BURR, AARON"	2	0	0
2	5012	47	0	NORTH C	5000	JOHNSTON	"JOHNSTON, SAMUEL"	2	1	1
2	4212	47	0	NORTH C	4000	HAWKINS	"HAWKINS, BENJAMIN"	2	1	1
2	6712	14	0	PENNSYL	5000	MORRIS	"MORRIS, ROBERT"	2	0	0
2	8845	5	0	RHODE I	4000	STANTON	"STANTON, JOSEPH, JR."	2	0	0
2	3315	5	0	RHODE I	5000	FOSTER	"FOSTER, THEODORE"	2	0	0
2	1346	48	0	SOUTH C	4000	BUTLER	"BUTLER, PIERCE"	2	1	1
2	4837	48	0	SOUTH C	5000	IZARD	"IZARD, RALPH"	2	1	1
2	7989	6	0	VERMONT	4000	ROBINSON	"ROBINSON, MOSES"	2	0	0
2	956	6	0	VERMONT	4000	BRADLEY	"BRADLEY, STEPHEN ROW"	2	0	0
2	6594	40	0	VIRGINI	4000	MONROE	"MONROE, JAMES -VIRGINIA-"	2	1	1
2	5565	40	0	VIRGINI	4000	LEE	"LEE, RICHARD HENRY"	2	1	1
2	9215	40	0	VIRGINI	4000	TAYLOR	"TAYLOR, JOHN -VIRGINIA-"	2	1	1
3	2936	1	0	CONNECT	5000	ELLSWORTH	"ELLSWORTH, OLIVER"	2	0	0
3	8457	1	0	CONNECT	5000	SHERMAN	"SHERMAN, ROGER"	2	0	0
3	6574	1	0	CONNECT	5000	MITCHELL	"MITCHELL, STEPHEN MIX"	2	0	0
3	9676	11	0	DELAWAR	5000	VINING	"VINING, JOHN"	2	1	0
3	5494	11	0	DELAWAR	5000	LATIMER	"LATIMER, HENRY"	2	1	0
3	4854	44	0	GEORGIA	4000	JACKSON	"JACKSON, JAMES -GEORGIA."	2	1	1
3	3877	44	0	GEORGIA	4000	GUNN	"GUNN, JAMES -GEORGIA-"	2	1	1
3	2866	51	0	KENTUCK	4000	EDWARDS	"EDWARDS, JOHN -KENTUCKY-"	2	1	0
3	1118	51	0	KENTUCK	4000	BROWN	"BROWN, JOHN -VIRGINIA-"	2	1	0
3	7564	52	0	MARYLAN	5000	POTTS	"POTTS, RICHARD"	2	1	0
3	4333	52	0	MARYLAN	5000	HENRY	"HENRY, JOHN -MARYLAND-"	2	1	0
3	9028	3	0	MASSACH	5000	STRONG	"STRONG, CALEB"	2	0	0
3	1384	3	0	MASSACH	5000	CABOT	"CABOT, GEORGE"	2	0	0
3	5449	4	0	NEW HAM	4000	LANGDON	"LANGDON, JOHN"	2	0	0
3	5713	4	0	NEW HAM	5000	LIVERMORE	"LIVERMORE, SAMUEL"	2	0	0
3	3361	12	0	NEW JER	5000	FRELINGHU	"FRELINGHUYSEN, FREDERICK"	2	0	0
3	8150	12	0	NEW JER	5000	RUTHERFUR	"RUTHERFURD, JOHN"	2	0	0
3	5270	13	0	NEW YOR	5000	KING	"KING, RUFUS"	2	0	0
3	1302	13	0	NEW YOR	4000	BURR	"BURR, AARON"	2	0	0
3	4212	47	0	NORTH C	4000	HAWKINS	"HAWKINS, BENJAMIN"	2	1	1
3	6012	47	0	NORTH C	4000	MARTIN	"MARTIN, ALEXANDER"	2	1	1
3	6712	14	0	PENNSYL	5000	MORRIS	"MORRIS, ROBERT"	2	0	0
3	3437	14	0	PENNSYL	4000	GALLATIN	"GALLATIN, ALBERT"	2	0	0
3	8070	14	0	PENNSYL	5000	ROSS	"ROSS, JAMES"	2	0	0
3	951	5	0	RHODE I	5000	BRADFORD	"BRADFORD, WILLIAM"	2	0	0
3	3315	5	0	RHODE I	5000	FOSTER	"FOSTER, THEODORE"	2	0	0
3	1346	48	0	SOUTH C	4000	BUTLER	"BUTLER, PIERCE"	2	1	1
3	4837	48	0	SOUTH C	5000	IZARD	"IZARD, RALPH"	2	1	1
3	7989	6	0	VERMONT	4000	ROBINSON	"ROBINSON, MOSES"	2	0	0
3	956	6	0	VERMONT	4000	BRADLEY	"BRADLEY, STEPHEN ROW"	2	0	0
3	9215	40	0	VIRGINI	4000	TAYLOR	"TAYLOR, JOHN -VIRGINIA-"	2	1	1
3	6594	40	0	VIRGINI	4000	MONROE	"MONROE, JAMES -VIRGINIA-"	2	1	1
3	9238	40	0	VIRGINI	4000	TAZEWELL	"TAZEWELL, HENRY"	2	1	1
4	9489	1	0	CONNECT	1	TRUMBULL	"TRUMBULL, JONATHAN"	2	0	0
4	2936	1	0	CONNECT	1	ELLSWORTH	"ELLSWORTH, OLIVER"	2	0	0
4	4433	1	0	CONNECT	1	HILLHOUSE	"HILLHOUSE, JAMES"	2	0	0
4	9452	1	0	CONNECT	1	TRACY	"TRACY, URIAH"	2	0	0
4	9676	11	0	DELAWAR	1	VINING	"VINING, JOHN"	2	1	0
4	5494	11	0	DELAWAR	1	LATIMER	"LATIMER, HENRY"	2	1	0
4	3877	44	0	GEORGIA	1	GUNN	"GUNN, JAMES -GEORGIA-"	2	1	1
4	4854	44	0	GEORGIA	200	JACKSON	"JACKSON, JAMES -GEORGIA."	2	1	1
4	9796	44	0	GEORGIA	1	WALTON	"WALTON, GEORGE"	2	1	1
4	9189	44	0	GEORGIA	200	TATTNALL	"TATTNALL, JOSIAH"	2	1	1
4	6000	51	0	KENTUCK	1	MARSHALL	"MARSHALL, HUMPHREY -KENTU"	2	1	0
