9991    3698NORTH D 20001AANDAHL,   00000000000000000000006770000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9992    40 4VIRGINI 10022ABBITT, W. 00100010000000717761116716111661111611799116111199000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99913   46 4MISSISS 10001ABERNETHY  00100010011111111661116676111111171691111666611199000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99918   22 4INDIANA 20001ADAIR,     00100010000000000001011661111111111991111111100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99919   2115ILLINOI 10001ADAIR, J.L.16161000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99939   4  2NEW HAM 20001ADAMS, S.  00000000000077000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99946   1211NEW JER 10001ADDONIZIO, 00100010000000000161611711111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99962   53 3OKLAHOM 10001ALBERT, C. 00100010000000611161611776111111111111111116100600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99982   47 9NORTH C 10001ALEXANDER  00100010000000000001010016117111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99985   33 3MINNESO 20001ALEXANDER  00100211000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99992   42 5ARKANSA 32901ALFORD     00100010000000000001010010111711000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99993   49 5TEXAS   20001ALGER      00000000000000000000000000066656177000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999100  45 8LOUISIA 10001ALLEN, A.  00100616161111711161617110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999116  71 7CALIFOR 20001ALLEN, J.  00100010000000111611111111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999121  2113ILLINOI 20001ALLEN, L.E.11116611111111121611111612211110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999127  1428PENNSYL 10001ALLEN, R.  00100611000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999144  40 6VIRGINI 10022ALMOND, J. 00000000000000710000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999156  25 1WISCONS 37001AMLIE, T.R.61161000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999158  33 7MINNESO 20001ANDERSEN   00100611166167111661116611111111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999163  3412MISSOUR 10001ANDERSON, C00100616000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999165  66 1NEW MEX 10001ANDERSON, C00000000191600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
999173  71 8CALIFOR 20001ANDERSON, J00100111111111111611116610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
