"","icpsr","name","party_code","chamber","state_abbrev","dim1","dim2","coord1D","correctYea","wrongYea","correctNay","wrongNay"
"1","99902","KENNEDY, John Fitzgerald","100","House","USA","-0.472","-0.487",NA,NA,NA,NA,NA
"2","8353","SELDEN, Armistead Inge, Jr.","100","House","AL","-0.073","0.852",NA,NA,NA,NA,NA
"3","3754","GRANT, George McInvale","100","House","AL","-0.117","0.993",NA,NA,NA,NA,NA
"4","195","ANDREWS, George William","100","House","AL","-0.03","1",0.26684308052063,12,2,8,0
"5","4686","HUDDLESTON, George Jr.","100","House","AL","-0.115","0.833",NA,NA,NA,NA,NA
"6","7954","ROBERTS, Kenneth Allison","100","House","AL","-0.282","0.895",NA,NA,NA,NA,NA
"7","5058","JONES, Robert Emmett, Jr.","100","House","AL","-0.358","0.866",0.172967255115509,53,11,26,3
"8","2909","ELLIOTT, Carl Atwood","100","House","AL","-0.381","0.905",NA,NA,NA,NA,NA
"9","7695","RAINS, Albert McKinley","100","House","AL","-0.342","0.934",NA,NA,NA,NA,NA
"10","7926","RIVERS, Ralph Julian","100","House","AK","-0.491","0.414",NA,NA,NA,NA,NA
"11","7845","RHODES, John Jacob","200","House","AZ","0.225","-0.033",0.262373685836792,93,23,42,4
"12","10566","UDALL, Morris King","100","House","AZ","-0.387","0.008",-0.1083093136549,153,13,59,7
"13","10623","SENNER, George Frederick, Jr.","100","House","AZ","-0.305","0.228",NA,NA,NA,NA,NA
"14","3506","GATHINGS, Ezekiel Candler","100","House","AR","0.012","0.978",NA,NA,NA,NA,NA
"15","6532","MILLS, Wilbur Daigh","100","House","AR","-0.237","0.894",0.173917442560196,47,10,18,7
"16","9473","TRIMBLE, James William","100","House","AR","-0.397","0.91",NA,NA,NA,NA,NA
"17","4110","HARRIS, Oren","100","House","AR","-0.179","0.949",NA,NA,NA,NA,NA
"18","10579","CLAUSEN, Donald Holst","200","House","CA","0.16","0.036",0.169273272156715,108,17,39,11
"19","4957","JOHNSON, Harold Terry","100","House","CA","-0.439","0.503",0.099089577794075,101,14,42,8
"20","6756","MOSS, John Emerson","100","House","CA","-0.582","0.191",-0.201749473810196,80,10,27,3
"21","10599","LEGGETT, Robert Louis","100","House","CA","-0.468","0.158",0.00951307360082865,87,10,31,9
"22","8437","SHELLEY, John Francis","100","House","CA","-0.455","0.105",NA,NA,NA,NA,NA
"23","5929","MAILLIARD, William Somers","200","House","CA","0.117","-0.484",0.0656621977686882,35,2,11,4
"24","1911","COHELAN, Jeffery","100","House","CA","-0.519","-0.268",NA,NA,NA,NA,NA
"25","6483","MILLER, George Paul","100","House","CA","-0.426","0.204",0.0872156023979187,21,1,11,1
"26","10583","EDWARDS, William Donlon (Don)","100","House","CA","-0.599","-0.419",-0.378595292568207,201,7,81,9
"27","3867","GUBSER, Charles Samuel","200","House","CA","0.205","-0.178",0.154448211193085,30,3,9,4
"28","10461","YOUNGER, Jesse Arthur","200","House","CA","0.296","-0.285",NA,NA,NA,NA,NA
"29","10631","TALCOTT, Burt Lacklen","200","House","CA","0.25","-0.115",0.229197591543198,66,11,26,6
"30","9240","TEAGUE, Charles McKevett","200","House","CA","0.243","-0.227",0.22459189593792,29,9,15,2
"31","387","BALDWIN, John Finley, Jr.","200","House","CA","0.055","-0.315",NA,NA,NA,NA,NA
"32","6240","McFALL, John Joseph","100","House","CA","-0.468","0.442",0.0833084657788277,89,9,39,4
"33","8549","SISK, Bernice Frederic","100","House","CA","-0.388","0.52",0.145674422383308,74,8,32,5
"34","5255","KING, Cecil Rhodes","100","House","CA","-0.468","0.144",NA,NA,NA,NA,NA
"35","3901","HAGEN, Harlan Francis","100","House","CA","-0.269","0.13",NA,NA,NA,NA,NA
"36","4514","HOLIFIELD, Chester Earl","100","House","CA","-0.467","0.218",0.112970031797886,32,2,18,0
"37","8628","SMITH, H. Allen","200","House","CA","0.421","0.026",0.40397721529007,17,5,12,3
"38","10595","HAWKINS, Augustus Freeman (Gus)","100","House","CA","-0.517","-0.369",-0.227225661277771,144,10,65,3
"39","10511","CORMAN, James Charles","100","House","CA","-0.53","0.098",-0.135832712054253,91,13,29,8
"40","10580","CLAWSON, Delwin Morgan","200","House","CA","0.483","0.132",0.444447159767151,56,8,42,7
"41","5694","LIPSCOMB, Glenard Paul","200","House","CA","0.358","-0.001",NA,NA,NA,NA,NA
"42","10578","CAMERON, Ronald Brooks","100","House","CA","-0.327","-0.052",NA,NA,NA,NA,NA
"43","8051","ROOSEVELT, James","100","House","CA","-0.607","-0.088",NA,NA,NA,NA,NA
"44","10575","BURKHALTER, Everett Glen","100","House","CA","-0.435","0.47",NA,NA,NA,NA,NA
"45","10505","BELL, Alphonzo","200","House","CA","0.183","-0.336",0.126946598291397,44,9,21,6
"46","10573","BROWN, George Edward, Jr.","100","House","CA","-0.506","-0.028",-0.212476417422295,222,21,87,7
"47","10621","ROYBAL, Edward R.","100","House","CA","-0.61","-0.141",-0.222951024770737,190,14,70,10
"48","10640","WILSON, Charles Herbert","100","House","CA","-0.39","0.357",-0.00970641896128654,70,20,24,6
"49","4592","HOSMER, Craig","200","House","CA","0.276","-0.292",0.21418571472168,32,6,16,1
"50","8444","SHEPPARD, Harry Richard","100","House","CA","-0.27","0.279",NA,NA,NA,NA,NA
"51","10594","HANNA, Richard Thomas","100","House","CA","-0.347","0.043",0.0215092971920967,23,3,9,2
"52","9578","UTT, James Boyd","200","House","CA","0.484","0.246",NA,NA,NA,NA,NA
"53","10249","WILSON, Robert Carlton (Bob)","200","House","CA","0.264","-0.265",0.219713047146797,80,16,35,5
"54","10633","VAN DEERLIN, Lionel","100","House","CA","-0.401","-0.005",-0.0812868475914001,91,16,31,4
"55","10604","MARTIN, Patrick Minor","200","House","CA","0.252","0.238",NA,NA,NA,NA,NA
"56","8021","ROGERS, Byron Giles","100","House","CO","-0.28","0.171",NA,NA,NA,NA,NA
"57","10572","BROTZMAN, Donald Glenn","200","House","CO","0.157","-0.254",0.130254313349724,31,7,16,3
"58","1684","CHENOWETH, John Edgar","200","House","CO","0.184","-0.116",NA,NA,NA,NA,NA
"59","275","ASPINALL, Wayne Norviel","100","House","CO","-0.315","0.454",0.204647436738014,26,3,13,1
"60","2295","DADDARIO, Emilio Quincy","100","House","CT","-0.361","-0.223",NA,NA,NA,NA,NA
"61","10627","ST. ONGE, William Leon","100","House","CT","-0.417","-0.044",NA,NA,NA,NA,NA
"62","3553","GIAIMO, Robert Nicholas","100","House","CT","-0.318","0.093",0.0509675107896328,80,18,32,12
"63","10560","SIBAL, Abner Woodruff","200","House","CT","0.098","-0.787",NA,NA,NA,NA,NA
"64","6586","MONAGAN, John Stephen","100","House","CT","-0.228","-0.018",0.0718615427613258,24,3,9,1
"65","10590","GRABOWSKI, Bernard Francis","100","House","CT","-0.345","-0.149",NA,NA,NA,NA,NA
"66","6224","McDOWELL, Harris Brown, Jr.","100","House","DE","-0.401","0.097",NA,NA,NA,NA,NA
"67","8507","SIKES, Robert Lee Fulton","100","House","FL","-0.128","0.926",0.264990240335464,88,12,31,2
"68","633","BENNETT, Charles Edward","100","House","FL","-0.088","0.421",0.105358891189098,169,29,65,37
"69","7333","PEPPER, Claude Denson","100","House","FL","-0.422","0.357",-0.0229693632572889,134,17,56,10
"70","3078","FASCELL, Dante Bruno","100","House","FL","-0.4","0.229",-0.101274617016315,188,15,76,8
