"","congress","n","chamber","coord1D_mean_100","coord1D_mean_200","dim1_mean_100","dim1_mean_200"
"1",88,234,"House",0.0690083335813445,0.247416736092418,-0.30124,0.250202380952381
"2",89,275,"House",0.0508463621606453,0.251383593674381,-0.311951086956522,0.251967032967033
"3",90,338,"House",0.0571275009246,0.246766973461071,-0.303341708542714,0.247187050359712
"4",91,382,"House",0.0503714633714032,0.251028313213643,-0.30595067264574,0.258150943396226
"5",92,435,"House",0.0388346563710274,0.246908959217411,-0.314204724409449,0.255033149171271
"6",93,428,"House",0.015483287997149,0.25356306101422,-0.32437037037037,0.261627027027027
"7",94,440,"House",-0.015708824788314,0.258203336918334,-0.314938566552901,0.264993197278912
"8",95,438,"House",-0.0236923751744115,0.269405941212816,-0.305432989690722,0.26712925170068
"9",96,435,"House",-0.0365076229185797,0.310052031342639,-0.302454545454545,0.29450625
"10",97,436,"House",-0.0478875478947585,0.330807746841616,-0.298827160493827,0.307253886010363
"11",98,435,"House",-0.0744499336415989,0.357015541927543,-0.299410447761194,0.326491017964072
"12",99,436,"House",-0.0834333959038325,0.366525841692647,-0.30757874015748,0.335274725274725
"13",100,437,"House",-0.0995068810030667,0.369946056804253,-0.308490347490347,0.336780898876404
"14",101,440,"House",-0.11965374854875,0.370757739514824,-0.31293893129771,0.338561797752809
"15",102,433,"House",-0.129779522412211,0.395701329794801,-0.314018867924528,0.344
"16",103,421,"House",-0.181193161397012,0.451620351049607,-0.336959016393443,0.370525423728814
"17",104,441,"House",-0.224092986322804,0.490667994550251,-0.360402912621359,0.396842553191489
"18",105,440,"House",-0.277026368945371,0.506297791360583,-0.374866028708134,0.401549783549784
"19",106,436,"House",-0.300389525997573,0.512968431235225,-0.372632075471698,0.404174107142857
"20",107,438,"House",-0.312749680424634,0.531420324129605,-0.376202830188679,0.409013274336283
"21",108,433,"House",-0.33622061874399,0.551953928455645,-0.377504901960784,0.41764192139738
"22",109,436,"House",-0.364838339645574,0.564275510912929,-0.387152709359606,0.423549356223176
"23",110,448,"House",-0.347583134216305,0.598971856685663,-0.369830578512397,0.439577669902913
"24",111,447,"House",-0.335555563112975,0.632867924004629,-0.348962406015038,0.458574585635359
"25",112,445,"House",-0.43523347070819,0.667257148635631,-0.392895,0.467755102040816
"26",113,445,"House",-0.463862980805939,0.686609001768132,-0.384273170731707,0.482383333333333
"27",114,442,"House",-0.490682897341428,0.691096660922248,-0.39465445026178,0.480525896414343
"28",115,449,"House",-0.492648709605766,0.701711275696755,-0.388798994974874,0.48936
"29",116,446,"House",-0.512104509946321,0.722407416732991,-0.371012552301255,0.501579710144928
"30",117,381,"House",-0.522139232803602,0.721573502173898,-0.380061904761905,0.498853801169591
"31",88,64,"Senate",-0.227476151432933,0.188207244743472,-0.293268292682927,0.266608695652174
"32",89,69,"Senate",-0.223898771303621,0.18866568505764,-0.287340909090909,0.26884
"33",90,76,"Senate",-0.222877898132024,0.145294729340821,-0.285260869565217,0.2516
"34",91,92,"Senate",-0.234338069621187,0.142591059929691,-0.290038461538462,0.247025
"35",92,100,"Senate",-0.24277044954625,0.118178204840256,-0.289218181818182,0.233222222222222
"36",93,101,"Senate",-0.274805581325601,0.170102198749001,-0.318637931034483,0.264837209302326
"37",94,100,"Senate",-0.283794981397448,0.171689906672231,-0.317822580645161,0.270842105263158
"38",95,100,"Senate",-0.28852506420545,0.178045306575338,-0.316693548387097,0.269026315789474
"39",96,100,"Senate",-0.299919049429186,0.186879286065516,-0.306152542372881,0.276634146341463
"40",97,100,"Senate",-0.285063042206333,0.24140474012227,-0.290978723404255,0.308792452830189
"41",98,100,"Senate",-0.308119281559535,0.234097669332254,-0.301326086956522,0.308555555555556
"42",99,99,"Senate",-0.348507976833176,0.258308505317053,-0.305595744680851,0.316423076923077
"43",100,99,"Senate",-0.378940635580908,0.253249966751107,-0.294363636363636,0.315
"44",101,101,"Senate",-0.425938744829702,0.287465833417243,-0.293428571428571,0.319066666666667
"45",102,100,"Senate",-0.438852835838732,0.317826471789632,-0.297719298245614,0.320232558139535
"46",103,99,"Senate",-0.452326712715957,0.35467000959648,-0.301888888888889,0.3376
"47",104,101,"Senate",-0.493142181333709,0.397425393608433,-0.304957446808511,0.348444444444444
"48",105,100,"Senate",-0.546314262847106,0.468442441319877,-0.310511111111111,0.3736
"49",106,101,"Senate",-0.557571094897058,0.45590182277374,-0.3046,0.363732142857143
"50",107,98,"Senate",-0.570324704594289,0.487207388542593,-0.305083333333333,0.36866
"51",108,98,"Senate",-0.562911513875774,0.46686695687765,-0.301276595744681,0.357607843137255
"52",109,98,"Senate",-0.601407571847356,0.510643936896866,-0.308953488372093,0.377890909090909
"53",110,99,"Senate",-0.606646626178796,0.535941569901564,-0.295958333333333,0.391411764705882
"54",111,102,"Senate",-0.617684215245148,0.54767577642841,-0.295433333333333,0.404333333333333
"55",112,100,"Senate",-0.649372124376724,0.612852985713076,-0.300849056603774,0.450212765957447
"56",113,100,"Senate",-0.703408645499836,0.652333588401476,-0.325854545454545,0.4754
"57",114,98,"Senate",-0.762222049588507,0.670340428473773,-0.334272727272727,0.476981481481482
"58",115,100,"Senate",-0.763490152747735,0.698503134427247,-0.333260869565217,0.486203703703704
"59",116,94,"Senate",-0.80652650878873,0.720850690907123,-0.342953488372093,0.501490196078431
"60",117,87,"Senate",-0.802559194465478,0.726906639999814,-0.340333333333333,0.508577777777778
