,id,congress,chamber,rollnumber,voteview_id,voteview_id_1,voteview_id_2,date,year,month,day,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,pap_description,pap_majortopic,pap_subtopic,majortopic,subtopic
1,242,80,1,118,RH0800118,"'RH0800118',","RH0800118,",4/30/48,1948,4,30,NA,NA,257,29,-0.343,-0.103,-0.183,-0.187,-75.879,HR5992,NA,NA,NA,HR 5992. TIDELANDS. CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS WITHIN STATE BOUNDARIES AND NATURAL RESOURCES WITHIN SUCH LANDS AND WATERS AND PROVIDE FOR THE USE AND CONTROL OF SAID LANDS AND RESOURCES. PASSAGE.,HR 5992. TIDELANDS. CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS WITHIN STATE BOUNDARIES AND NATURAL RESOURCES WITHIN SUCH LANDS AND WATERS AND PROVIDE FOR THE USE AND CONTROL OF SAID LANDS AND RESOURCES. PASSAGE.,7,710,7,701
2,1265,82,1,22,RH0820022,"'RH0820022',","RH0820022,",5/2/51,1951,5,2,NA,NA,249,148,-0.12,0.048,-0.174,-0.103,-152.61,HR3790,NA,NA,NA,"HR 3790. ON PICKETT AMEND. (BUREAU OF LAND MANAGEMENT-STRIKE OUT $7,700000 AND INS ERT $6,900,000 OF WHICH $1,200,000 FOR SOIL AND MOISTURE CONSERVATION.)","HR 3790. ON PICKETT AMEND. BUREAU OF LAND MANAGEMENT-- STRIKE OUT $7,700000 AND INS ERT $6,900,000 OF WHICH $1,200,000 FOR SOIL AND MOISTURE CONSERVATION",7,711,7,711
3,1519,82,1,181,RH0820181,"'RH0820181',","RH0820181,",7/4/52,1952,7,4,NA,NA,119,181,-0.143,0.012,0.149,-0.027,-123.755,HR7289,NA,NA,NA,"HR 7289. APPROPRIATIONS FOR THE DEPTS. OF STATE, JUSTICE, COMMERCE, AND THE JUDICIARY FOR THE FISCAL YEAR ENDING JUNE 30, 1953. CONFERENCE REPORT ON MOTION TO RECEDE AND CONCUR IN SENATE AMEND NO. 24 W ITH AN AMENDMENT. (SUIT IN COURT--WATER RIGHTS--CAMP PENDLETON)","HR 7289. APPROPRIATIONS FOR THE DEPTS. OF STATE, JUSTICE, COMMERCE, AND THE JUDICIARY FOR THE FISCAL YEAR ENDING JUNE 30, 1953. CONFERENCE REPORT ON MOTION TO RECEDE AND CON- CUR IN SENATE AMEND NO. 24 W ITH AN AMENDMENT. SUIT IN COURT--WATER RIGHT",7,799,7,799
4,1668,83,1,26,RH0830026,"'RH0830026',","RH0830026,",5/20/53,1953,5,20,NA,NA,196,201,-0.221,-0.001,-0.031,0.486,-186.75,HR5227,NA,NA,NA,"HR 5227. APPROPRIATIONS FOR THE DEPT. OF AGRICULTURE FOR THE FISCAL YEAR ENDING JUNE 30, 1954. ON KING (PENN.) AMEND. (SOIL CONSERVATION--STRIKE OUT $195,000,000 AND INSERT $140,000,000)","HR 5227. APPROPRIATIONS FOR THE DEPT. OF AGRICULTURE FOR THE FISCAL YEAR ENDING JUNE 30, 1954. ON KING PENN AMEND. SOIL CONSERVATION--STRIKE OUT $195,000,000 AND IN- SERT $140,000,000)",7,711,7,711
5,1695,83,1,39,RH0830039,"'RH0830039',","RH0830039,",6/25/53,1953,6,25,NA,NA,58,316,-0.34,0.115,0.257,0.193,-74.294,HR5728,NA,NA,NA,HR 5728. AUTHORIZE THE DISPOSAL OF THE GOV'T-OWNED RUBBERPRODUCING FACILITIES. ON MOTION TO RECOMMIT.,HR 5728. AUTHORIZE THE DISPOSAL OF THE GOV'T-OWNED RUBBER- PRODUCING FACILITIES. ON MOTION TO RECOMMIT.,7,704,7,704
6,2239,84,1,112,RH0840112,"'RH0840112',","RH0840112,",6/13/56,1956,6,13,NA,NA,165,213,0.076,0.014,-0.26,-0.045,-108.151,HR9540,NA,NA,NA,HR 9540. WATER POLLUTION. EXTEND AND STRENGTHEN THE WATER POLLUTION CONTROL ACT. MOTION TO RECOMMIT. REJECTED.,HR 9540. WATER POLLUTION. EXTEND AND STRENGTHEN THE WATER POLLUTION CONTROL ACT. MOTION TO RECOMMIT. REJECTED.,7,701,7,701
7,2241,84,1,113,RH0840113,"'RH0840113',","RH0840113,",6/13/56,1956,6,13,NA,NA,338,31,0.421,0.54,0.181,0.161,-81.785,HR9540,NA,NA,NA,HR 9540. EXTEND AND STRENGTHEN WATER POLLUTION CONTROL ACT. PASSED.,HR 9540. EXTEND AND STRENGTHEN WATER POLLUTION CONTROL ACT. PASSED.,7,701,7,701
8,2405,84,1,98,RH0840098,"'RH0840098',","RH0840098,",5/3/56,1956,5,3,NA,NA,184,211,-0.292,-0.741,-0.331,0.72,-39.386,HR10875,NA,NA,NA,HR 10875. FARM PROGRAM. MOTION TO RECOMMIT TO AGRICULTURE COMMITTEE WITH INSTRUCTIONS TO WRITE IN AN ADVANCE PAYMENT PROVISION FOR SOIL BANK PROGRAM. REJECTED.,HR 10875. FARM PROGRAM. MOTION TO RECOMMIT TO AGRICULTURE COMMITTEE WITH INSTRUCTIONS TO WRITE IN AN ADVANCE PAYMENT PROVISION FOR SOIL BANK PROGRAM. REJECTED.,7,711,7,711
9,2461,85,1,26,RH0850026,"'RH0850026',","RH0850026,",4/4/57,1957,4,4,NA,NA,185,231,0.069,0.046,-0.226,-0.115,-139.809,HR6287,NA,NA,NA,"HR 6287. FISCAL 1958 APPROPRIATIONS FOR DRPARTMENTS OF LABOR, AND HEALTH EDUCATION AN D WELFARE. AMENDMENT TO CUT FUNDDS FOR SEWAGE PLANT CONSTRUCTION BY STATES. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.","HR 6287. FISCAL 1958 APPROPRIATIONS FOR DRPARTMENTS OF LA- BOR, AND HEALTH EDUCATION AN D WELFARE. AMENDMENT TO CUT FUNDDS FOR SEWAGE PLANT CONSTRUCTION BY STATES. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.",7,703,7,703
10,3063,86,1,29,RH0860029,"'RH0860029',","RH0860029,",6/9/59,1959,6,9,NA,NA,156,240,0.01,0.089,-0.302,-0.001,-77.74,HR3610,NA,NA,NA,HR 3610. BILL TO AMEND 1948 WATER POLLUTION CONTROL ACT TO DOUBLE FEDERAL CONTRIBUTIONS FOR SEWAGE PLANT CONSTRUCTION. MOTION TO RECOMMIT WITH INSTRUCTIONS TO AMEND TO REQUIRE STATES TO MATCH FEDERAL GRANTS. REJECTED.,HR 3610. BILL TO AMEND 1948 WATER POLLUTION CONTROL ACT TO DOUBLE FEDERAL CONTRIBUTIONS FOR SEWAGE PLANT CONSTRUCTION. MOTION TO RECOMMIT WITH INSTRUCTIONS TO AMEND TO REQUIRE STATES TO MATCH FEDERAL GRANTS. REJECTED.,7,703,7,703
