,id,congress,chamber,rollnumber,voteview_id,voteview_id_1,voteview_id_2,date,year,month,day,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,pap_description,pap_majortopic,pap_subtopic,majortopic,subtopic
1,336,80,2,188,RS0800188,"'RS0800188',","RS0800188,",5/21/48,1948,5,21,NA,NA,28,34,-0.085,0.056,0.34,-0.757,-5.391,HR5883,NA,NA,NA,"HR 5883. APPROPRIATIONS FOR THE DEPT. OF AGRICULTURE. UMSTEAD AMEND. TO INCREASE THE AUTHORIZATION FOR EXPENDITURES ON SOIL CONSERVATION PROGRAMS BY $100,000,000.","HR 5883. APPROPRIATIONS FOR THE DEPT. OF AGRICULTURE. UMSTEAD AMEND. TO INCREASE THE AUTHORIZATION FOR EXPENDI- TURES ON SOIL CONSERVATION PROGRAMS BY $100,000,000.",7,711,7,711
2,337,80,2,189,RS0800189,"'RS0800189',","RS0800189,",5/24/48,1948,5,24,NA,NA,41,38,-0.228,-0.974,0.318,-0.665,-19.446,HR5883,NA,NA,NA,"HR 5883. RUSSELL AMEND. TO INCREASE THE AUTHORIZATION FOR EXPENDITURES ON SOIL CONSERVATION, INCLUDING SALARIES AND OTHER ADMINISTRATIVE EXPENSES, BY $50,000,000.","HR 5883. RUSSELL AMEND. TO INCREASE THE AUTHORIZATION FOR EXPENDITURES ON SOIL CONSERVATION, INCLUDING SALARIES AND OTHER ADMINISTRATIVE EXPENSES, BY $50,000,000.",7,711,7,711
3,339,80,2,191,RS0800191,"'RS0800191',","RS0800191,",5/25/48,1948,5,25,NA,NA,38,42,0.085,-0.033,-0.234,0.346,-17.691,HR5883,NA,NA,NA,HR 5883. YOUNG AMEND. PROVIDING FOR DISTRIBUTION OF AAA FUNDS ON BASIS OF 1947 PROGRAMS RATHER THAN CONSERVATION NEEDS OF THE STATES.,HR 5883. YOUNG AMEND. PROVIDING FOR DISTRIBUTION OF AAA FUNDS ON BASIS OF 1947 PROGRAMS RATHER THAN CONSERVATION NEEDS OF THE STATES.,7,711,7,711
4,973,81,2,306,RS0810306,"'RS0810306',","RS0810306,",4/17/50,1950,4,17,NA,NA,37,28,-0.154,-0.452,0.233,-0.472,-12.44,HR5472,NA,NA,NA,HR 5472. CHAVEZ MOTION TO TABLE WILLIAMS MOTION TO RECONSIDER VOTE RESPECTING BEACH EROSION IN CONN.,HR 5472. CHAVEZ MOTION TO TABLE WILLIAMS MOTION TO RECON- SIDER VOTE RESPECTING BEACH EROSION IN CONN.,7,710,7,701
5,974,81,2,307,RS0810307,"'RS0810307',","RS0810307,",4/17/50,1950,4,17,NA,NA,31,37,0.006,-0.076,-0.043,0.135,-42.273,HR5472,NA,NA,NA,"HR 5472. HENDRICKSON AMEND. RELATING TO BEACH-EROSION CONTROL, ATLANTIC CITY, N.J.","HR 5472. HENDRICKSON AMEND. RELATING TO BEACH-EROSION CON- TROL, ATLANTIC CITY, N.J.",7,710,7,701
6,975,81,2,308,RS0810308,"'RS0810308',","RS0810308,",4/17/50,1950,4,17,NA,NA,48,23,-0.022,-0.411,0.065,-0.3,-40.202,HR5472,NA,NA,NA,HR 5472. CHAVEZ MOTION TO TABLE WILLIAMS MOTION TO RECOMMIT.,HR 5472. CHAVEZ MOTION TO TABLE WILLIAMS MOTION TO RECOMMIT.,7,710,7,701
7,1149,82,2,104,RS0820104,"'RS0820104',","RS0820104,",7/25/51,1951,7,25,NA,NA,37,38,0.155,0.445,-0.151,0.341,-26.803,HR3973,NA,NA,NA,"HR 3973. FERGUSON AMEND. REDUCING BY $80,000,000 AUTHORIZED FUNDS FOR 1952 PROGRAM OF SOIL-BUILDING PRACTICES AND SOILAND-WATER-CONSERVING PRACTICES.","HR 3973. FERGUSON AMEND. REDUCING BY $80,000,000 AUTHORIZED FUNDS FOR 1952 PROGRAM OF SOIL-BUILDING PRACTICES AND SOIL- AND-WATER-CONSERVING PRACTICES.",7,711,7,711
8,1151,82,2,105,RS0820105,"'RS0820105',","RS0820105,",7/26/51,1951,7,26,NA,NA,41,39,0.017,0.034,0.122,-0.266,-32.96,HR3973,NA,NA,NA,"HR 3973. COMMITTEE AMEND. PROVIDING $280,000,000 (INCREASE OF $55,000,000) IN AUTHORIZATIONS FOR 1952 PROGRAM OF SOILBUILDING PRACTICES AND SOIL-AND-WATER-CONSERVING PRACTICES.","HR 3973. COMMITTEE AMEND. PROVIDING $280,000,000 (INCREASE OF $55,000,000) IN AUTHORIZATIONS FOR 1952 PROGRAM OF SOIL- BUILDING PRACTICES AND SOIL-AND-WATER-CONSERVING PRACTICES.",7,711,7,711
9,1153,82,2,106,RS0820106,"'RS0820106',","RS0820106,",7/26/51,1951,7,26,NA,NA,24,52,-0.294,-0.776,-0.104,0.505,-27.502,HR3973,NA,NA,NA,"HR 3973. DOUGLAS AMEND. REDUCING BY $20,750,000 FUNDS FOR SOIL-BUILDING PRACTICES AND SOIL-AND-WATER-CONSERVING PRACTICES.","HR 3973. DOUGLAS AMEND. REDUCING BY $20,750,000 FUNDS FOR SOIL-BUILDING PRACTICES AND SOIL-AND-WATER-CONSERVING PRACTICES.",7,711,7,711
10,1586,82,2,267,RS0820267,"'RS0820267',","RS0820267,",6/6/52,1952,6,6,NA,NA,23,35,0.19,0.271,-0.113,0.257,-29.877,HR7314,NA,NA,NA,"HR 7341. ANDERSON AMEND. RESTRICTING PAYMENTS FOR CERTAIN SOIL-BUILDING PRACTICES AND LIMITING INDIVIDUAL PAYMENTS TO $2,500.","HR 7341. ANDERSON AMEND. RESTRICTING PAYMENTS FOR CERTAIN SOIL-BUILDING PRACTICES AND LIMITING INDIVIDUAL PAYMENTS TO $2,500.",7,711,7,711
11,2096,84,2,31,RS0840031,"'RS0840031',","RS0840031,",4/26/55,1955,4,26,NA,NA,5,76,0.533,0.846,-0.154,-0.061,-27.962,HR5239,NA,NA,NA,HR 5239. FISCAL 1956 APPROPRIATIONS FOR DEPARTMENT OF AGRICULTURE AND FARM CREDIT ADMINISTRATION. AMENDMENT TO REDUCE SOIL CONSERVATION FUNDS. REJECTED.,HR 5239. FISCAL 1956 APPROPRIATIONS FOR DEPARTMENT OF AGRICULTURE AND FARM CREDIT ADMINISTRATION. AMENDMENT TO REDUCE SOIL CONSERVATION FUNDS. REJECTED.,7,711,7,711
12,2108,84,2,37,RS0840037,"'RS0840037',","RS0840037,",5/17/55,1955,5,17,NA,NA,35,49,-0.551,-0.835,-0.084,0.338,-47.844,HR1573,NA,NA,NA,HR. 1573. AGRICULTURAL ADJUSTMENT ACT. REPEAL SECTION OF AGRICULTURAL ADJUSTMENT ACT ON AGRICULTURAL CONSERVATION PAYMENTS RESTRICTIONS. HOLLAND AMENDMENT MAKING THOSE KNOWINGLY HARVESTING BASIC COMMODITIES IN EXCESS OF ACREAGE ALLOTMENT INELIGIBLE FOR SOIL CONSERVATION PAYMENTS. REJECTED.,HR. 1573. AGRICULTURAL ADJUSTMENT ACT. REPEAL SECTION OF AGRICULTURAL ADJUSTMENT ACT ON AGRICULTURAL CONSERVATION PAYMENTS RESTRICTIONS. HOLLAND AMENDMENT MAKING THOSE KNOWINGLY HARVESTING BASIC COMMODITIES IN EXCESS OF ACREAGE ALLOTMENT INELIGIBLE F,7,711,7,711
13,2248,84,2,116,RS0840116,"'RS0840116',","RS0840116,",3/15/56,1956,3,15,NA,NA,49,42,-0.279,-0.93,0.188,-0.409,-27.422,S3183,NA,NA,NA,S. 3183. FARM PROGRAM. MOTION TO TABLE A MOTION TO TO RECONSIDER AIKEN AMENDMENT. AGREED TO. (SEE CQ 31.),S. 3183. FARM PROGRAM. MOTION TO TABLE A MOTION TO TO RECONSIDER AIKEN AMENDMENT. AGREED TO. (SEE CQ 31.),7,711,7,711
14,2252,84,2,118,RS0840118,"'RS0840118',","RS0840118,",3/15/56,1956,3,15,NA,NA,24,63,-0.383,-0.484,0.228,-0.299,-26.496,S3183,NA,NA,NA,S. 3183. FARM PROGRAM. KERR AMENDMENT TO INCREASE FUNDS TO PERMIT CATTLE PRODUCERS TO PLACE GRAZING LANDS IN RESERVE. REJECTED.,S. 3183. FARM PROGRAM. KERR AMENDMENT TO INCREASE FUNDS TO PERMIT CATTLE PRODUCERS TO PLACE GRAZING LANDS IN RE- SERVE. REJECTED.,7,711,7,711
15,2268,84,2,126,RS0840126,"'RS0840126',","RS0840126,",3/19/56,1956,3,19,NA,NA,48,46,-0.104,0.016,-0.064,0.327,-42.732,S3183,NA,NA,NA,"S. 3183. FARM PROGRAM. HOLLAND AMENDMENT REQUIRING FARMERS TO ALLOCATE A CERTAIN PORTION OF LAND TO THE SOIL BANK IN ORDER TO RECEIVE PRICE SUPPORTS, TUNG NUT PRODUCERS EXCLUDED. ADOPTED.","S. 3183. FARM PROGRAM. HOLLAND AMENDMENT REQUIRING FARMERS TO ALLOCATE A CERTAIN PORTION OF LAND TO THE SOIL BANK IN ORDER TO RECEIVE PRICE SUPPORTS, TUNG NUT PRODUCERS EXCLUDED. ADOPTED.",7,711,7,711
16,2315,84,2,152,RS0840152,"'RS0840152',","RS0840152,",5/18/56,1956,5,18,NA,NA,44,29,0.391,0.92,-0.083,0.289,-41.208,HR10875,NA,NA,NA,HR. 10875. REVISED FARM BILL. WILLIAMS AMENDMENT TO SET MAXIMUM LIMIT ON SOIL BANK PAYMENT TO A PRODUCER IN ANY ONE STATE. ADOPTED.,HR. 10875. REVISED FARM BILL. WILLIAMS AMENDMENT TO SET MAXIMUM LIMIT ON SOIL BANK PAYMENT TO A PRODUCER IN ANY ONE STATE. ADOPTED.,7,711,7,711
17,2316,84,2,153,RS0840153,"'RS0840153',","RS0840153,",5/18/56,1956,5,18,NA,NA,49,22,0.3,0.954,0.12,-0.032,-43.678,HR10875,NA,NA,NA,HR. 10875. REVISED FARM BILL. MOTION TO RECONSIDER CQ 65. ADOPTED.,HR. 10875. REVISED FARM BILL. MOTION TO RECONSIDER CQ 65. ADOPTED.,7,711,7,711
18,2317,84,2,154,RS0840154,"'RS0840154',","RS0840154,",5/18/56,1956,5,18,NA,NA,28,43,0.447,0.895,-0.081,0.119,-49.822,HR10875,NA,NA,NA,"HR. 10875. REVISED FARM BILL. RECONSIDERATION OF WILLIAMS AMENDMENT, CQ 65. REJECTED.","HR. 10875. REVISED FARM BILL. RECONSIDERATION OF WILLIAMS AMENDMENT, CQ 65. REJECTED.",7,711,7,711
19,2495,85,2,41,RS0850041,"'RS0850041',","RS0850041,",6/11/57,1957,6,11,NA,NA,40,38,-0.255,-0.226,-0.08,0.507,-29.173,HR7441,NA,NA,NA,HR. 7441. FISCAL 1958 APPROPRIATIONS FOR AGRICULTURE DEPARTMENT. AMENDMENT TO ELIMINATE THE PROVISION LIMITING NATIONAL AVERAGE FOR CONSERVATION RESERVE PAYMENTS PER ACRE. ADOPTED.,HR. 7441. FISCAL 1958 APPROPRIATIONS FOR AGRICULTURE DEPARTMENT. AMENDMENT TO ELIMINATE THE PROVISION LIMITING NATIONAL AVERAGE FOR CONSERVATION RESERVE PAYMENTS PER ACRE. ADOPTED.,7,711,7,711
20,2496,85,2,42,RS0850042,"'RS0850042',","RS0850042,",6/11/57,1957,6,11,NA,NA,26,52,0.807,-0.498,-0.076,-0.245,-51.192,HR7441,NA,NA,NA,HR. 7441. FISCAL 1958 APPROPRIATIONS FOR AGRICULTURE DEPARTMENT. AMENDMENT TO DECREASE LIMIT ON CONSERVATION RESERVE EXPENDITURES. REJECTED.,HR. 7441. FISCAL 1958 APPROPRIATIONS FOR AGRICULTURE DEPARTMENT. AMENDMENT TO DECREASE LIMIT ON CONSERVATION RESERVE EXPENDITURES. REJECTED.,7,711,7,711
21,2498,85,2,43,RS0850043,"'RS0850043',","RS0850043,",6/11/57,1957,6,11,NA,NA,7,71,0.488,0.59,-0.141,-0.199,-21.734,HR7441,NA,NA,NA,HR. 7441. FISCAL 1958 APPROPRIATIONS FOR AGRICULTURE DEPARTMENT. AMENDMENT TO BAR USE OF FUNDS FOR AN ACREAGE RESERVE PROGRAM ON 1958 CROPS AND LIMIT RESERVE PAYMENTS PER PRODUCER. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.,HR. 7441. FISCAL 1958 APPROPRIATIONS FOR AGRICULTURE DEPARTMENT. AMENDMENT TO BAR USE OF FUNDS FOR AN ACREAGE RESERVE PROGRAM ON 1958 CROPS AND LIMIT RESERVE PAYMENTS PER PRODUCER. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.,7,711,7,711
22,3038,86,2,207,RS0860207,"'RS0860207',","RS0860207,",9/9/59,1959,9,9,NA,NA,61,27,0.038,0.992,0.274,0.133,-25.573,HR3610,NA,NA,NA,HR. 3610. AMEND 1948 WATER POLLUTION CONTROL ACT & RAISE THE ANNUAL CEILING FOR FED. GRANTS FOR CONSTRUCTION OF SEWAGE PLANTS.,HR. 3610. AMEND 1948 WATER POLLUTION CONTROL ACT & RAISE THE ANNUAL CEILING FOR FED. GRANTS FOR CONSTRUCTION OF SEWAGE PLANTS.,7,701,7,701
23,3159,86,2,72,RS0860072,"'RS0860072',","RS0860072,",6/2/59,1959,6,2,NA,NA,26,51,0.103,-0.219,-0.083,0.299,-36.561,HR7175,NA,NA,NA,HR. 7175. FISCAL 1960 AGRICULTURE DEPT. APPROPRIATION: WILLIAMS AMEND. TO REDUCE THE CALENDAR 1960 ADVANCE AUTHORIZATION FOR AGRICULTURAL CONSERVATION PROGRAM FROM $250 MILLION TO $100 MILLION.,HR. 7175. FISCAL 1960 AGRICULTURE DEPT. APPROPRIATION: WILLIAMS AMEND. TO REDUCE THE CALENDAR 1960 ADVANCE AUTHORIZATION FOR AGRICULTURAL CONSERVATION PROGRAM FROM $250 MILLION TO $100 MILLION.,7,711,7,711
24,3161,86,2,73,RS0860073,"'RS0860073',","RS0860073,",6/3/59,1959,6,3,NA,NA,37,48,0.294,0.87,-0.153,0.292,-36.634,HR7175,NA,NA,NA,HR. 7175. WILLIAMS AMEND. TO REDUCE THE CALENDAR 1960 ADVANCE AUTHORIZATION FOR THE SOIL BANK RESERVE PROGRAM FROM $450 MILLION TO $375 MILLION.,HR. 7175. WILLIAMS AMEND. TO REDUCE THE CALENDAR 1960 ADVANCE AUTHORIZATION FOR THE SOIL BANK RESERVE PROGRAM FROM $450 MILLION TO $375 MILLION.,7,711,7,711
25,3403,86,2,331,RS0860331,"'RS0860331',","RS0860331,",6/9/60,1960,6,9,NA,NA,32,59,-0.395,-0.918,-0.158,0.49,-26.282,S2759,NA,NA,NA,"S. 2759. WHEAT ACT OF 1960, SETTING WHEAT PRICE SUPPORTS AND CUTTING TOTAL WHEAT ACREAGE 20%. HIKENLOOPER AMEND. TO EXTEND THE CONVERVATION RESERVE PROGRAM THROUGHT 1963 AND EXPAND IT TO 60 MILLION ACRES.","S. 2759. WHEAT ACT OF 1960, SETTING WHEAT PRICE SUPPORTS AND CUTTING TOTAL WHEAT ACREAGE 20%. HIKENLOOPER AMEND. TO EXTEND THE CONVERVATION RESERVE PROGRAM THROUGHT 1963 AND EXPAND IT TO 60 MILLION ACRES.",7,711,7,711
26,3608,87,2,159,RS0870159,"'RS0870159',","RS0870159,",8/28/61,1961,8,28,NA,NA,65,8,0.722,0.391,0.384,-0.87,-13.969,HR7391,NA,NA,NA,HR 7391. AUTHORIZE $50 MILLION FOR FEDERAL PROGRAM OF ACQUISITION OF WETLANDS AS MIGRATORY WATERFOWL HAVEN. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.,HR 7391. AUTHORIZE $50 MILLION FOR FEDERAL PROGRAM OF ACQUISITION OF WETLANDS AS MIGRATORY WATERFOWL HAVEN. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.,7,709,7,709
27,3788,87,2,78,RS0870078,"'RS0870078',","RS0870078,",6/20/61,1961,6,20,NA,NA,26,64,0.87,0.493,-0.235,1.148,-38.926,HR7444,NA,NA,NA,HR 7444. FISCAL 1962 APPROPRIATIONS AUTHORIZATION FOR AGRICULTURE DEPARTMENT AND COMMODITIES CREDIT CORPORATION. DOUGLAS AMENDMENT TO REDUCE CONSERVATION PAYMENTS. REJECTED. YEA SUPPORTS PRESIDENT'S POSITION.,HR 7444. FISCAL 1962 APPROPRIATIONS AUTHORIZATION FOR AGRICULTURE DEPARTMENT AND COMMODITIES CREDIT CORPORATION. DOUGLAS AMENDMENT TO REDUCE CONSERVATION PAYMENTS. REJECTED. YEA SUPPORTS PRESIDENT'S POSITION.,7,711,7,711
28,4252,88,2,141,RS0880141,"'RS0880141',","RS0880141,",9/30/63,1963,9,30,NA,NA,20,59,-0.231,-0.918,-0.268,0.659,-12.369,HR6754,NA,NA,NA,HR. 6754. MUNDT MOTION TO SUSPEND RULES & ADOPT AN AMEND. AUTHORIZING EXTENSION THROUGH 1965 OF ANY CONSERVATION RESERVE CONTRACTS EXPIRING IN 1963 OR 1964.,HR. 6754. MUNDT MOTION TO SUSPEND RULES & ADOPT AN AMEND. AUTHORIZING EXTENSION THROUGH 1965 OF ANY CONSERVATION RESERVE CONTRACTS EXPIRING IN 1963 OR 1964.,7,711,7,711
29,4269,88,2,156,RS0880156,"'RS0880156',","RS0880156,",10/16/63,1963,10,16,NA,NA,69,11,0.194,0.915,0.214,0.207,-20.213,S649,NA,NA,NA,"S. 649. AMEND THE FEDERAL WATER POLLUTION CONTROL ACT TO AUTHORIZE THE APPROPRIATION OF $20 MILLION ANNUALLY FOR 64--67 FOR GRANTS TO STATES & MUNICIPALITIES TO DEMONSTRATE METHODS OF SEPARATION OF COMBINED STORM & SANITARY SEWERS, & TO PROVIDE OTHER MEANS OF INCREASED FED. PARTICIPATION IN PREVENTING, CONTROLLING, & ABATING POLLUTION OF INTERSTATE & NAVIGABLE WATERS. PASSAGE.","S. 649. AMEND THE FEDERAL WATER POLLUTION CONTROL ACT TO AUTHORIZE THE APPROPRIATION OF $20 MILLION ANNUALLY FOR 64--67 FOR GRANTS TO STATES & MUNICIPALITIES TO DEMONSTRATE METHODS OF SEPARATION OF COMBINED STORM & SANITARY SEWERS, & TO PROVIDE OTHER M",7,701,7,701
30,4902,88,2,497,RS0880497,"'RS0880497',","RS0880497,",8/12/64,1964,8,12,NA,NA,27,62,0.274,-0.962,-0.269,-0.227,-29.455,HR3846,NA,NA,NA,HR. 3846. ESTABLISH A LAND & WATER CONSERVATION FUND. ALLOTT AMEND. TO DELETE PROVISION PERMITTING PAYMENT INTO THE FUND OF PROCEEDS FROM SALES OF SURPLUS FEDERAL REAL PROPERTY & RELATED PERSONAL PROPERTY.,HR. 3846. ESTABLISH A LAND & WATER CONSERVATION FUND. ALLOTT AMEND. TO DELETE PROVISION PERMITTING PAYMENT INTO THE FUND OF PROCEEDS FROM SALES OF SURPLUS FEDERAL REAL PROPERTY & RELATED PERSONAL PROPERTY.,7,711,7,711
