id,congress,chamber,rollnumber,voteview_id,date,year,month,day,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc,pap_description,pap_majortopic,pap_subtopic,majortopic,subtopic
242,80,1,118,RH0800118,4/30/48,1948,4,30,NA,NA,257,29,-0.343,-0.103,-0.183,-0.187,-75.879,HR5992,NA,NA,NA,HR 5992. TIDELANDS. CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS WITHIN STATE BOUNDARIES AND NATURAL RESOURCES WITHIN SUCH LANDS AND WATERS AND PROVIDE FOR THE USE AND CONTROL OF SAID LANDS AND RESOURCES. PASSAGE.,HR 5992. TIDELANDS. CONFIRM AND ESTABLISH THE TITLES OF THE STATES TO LANDS BENEATH NAVIGABLE WATERS WITHIN STATE BOUNDARIES AND NATURAL RESOURCES WITHIN SUCH LANDS AND WATERS AND PROVIDE FOR THE USE AND CONTROL OF SAID LANDS AND RESOURCES. PASSAGE.,7,710,7,701
1265,82,1,22,RH0820022,5/2/51,1951,5,2,NA,NA,249,148,-0.12,0.048,-0.174,-0.103,-152.61,HR3790,NA,NA,NA,"HR 3790. ON PICKETT AMEND. (BUREAU OF LAND MANAGEMENT-STRIKE OUT $7,700000 AND INS ERT $6,900,000 OF WHICH $1,200,000 FOR SOIL AND MOISTURE CONSERVATION.)","HR 3790. ON PICKETT AMEND. BUREAU OF LAND MANAGEMENT-- STRIKE OUT $7,700000 AND INS ERT $6,900,000 OF WHICH $1,200,000 FOR SOIL AND MOISTURE CONSERVATION",7,711,7,711
1519,82,1,181,RH0820181,7/4/52,1952,7,4,NA,NA,119,181,-0.143,0.012,0.149,-0.027,-123.755,HR7289,NA,NA,NA,"HR 7289. APPROPRIATIONS FOR THE DEPTS. OF STATE, JUSTICE, COMMERCE, AND THE JUDICIARY FOR THE FISCAL YEAR ENDING JUNE 30, 1953. CONFERENCE REPORT ON MOTION TO RECEDE AND CONCUR IN SENATE AMEND NO. 24 W ITH AN AMENDMENT. (SUIT IN COURT--WATER RIGHTS--CAMP PENDLETON)","HR 7289. APPROPRIATIONS FOR THE DEPTS. OF STATE, JUSTICE, COMMERCE, AND THE JUDICIARY FOR THE FISCAL YEAR ENDING JUNE 30, 1953. CONFERENCE REPORT ON MOTION TO RECEDE AND CON- CUR IN SENATE AMEND NO. 24 W ITH AN AMENDMENT. SUIT IN COURT--WATER RIGHT",7,799,7,799
1668,83,1,26,RH0830026,5/20/53,1953,5,20,NA,NA,196,201,-0.221,-0.001,-0.031,0.486,-186.75,HR5227,NA,NA,NA,"HR 5227. APPROPRIATIONS FOR THE DEPT. OF AGRICULTURE FOR THE FISCAL YEAR ENDING JUNE 30, 1954. ON KING (PENN.) AMEND. (SOIL CONSERVATION--STRIKE OUT $195,000,000 AND INSERT $140,000,000)","HR 5227. APPROPRIATIONS FOR THE DEPT. OF AGRICULTURE FOR THE FISCAL YEAR ENDING JUNE 30, 1954. ON KING PENN AMEND. SOIL CONSERVATION--STRIKE OUT $195,000,000 AND IN- SERT $140,000,000)",7,711,7,711
1695,83,1,39,RH0830039,6/25/53,1953,6,25,NA,NA,58,316,-0.34,0.115,0.257,0.193,-74.294,HR5728,NA,NA,NA,HR 5728. AUTHORIZE THE DISPOSAL OF THE GOV'T-OWNED RUBBERPRODUCING FACILITIES. ON MOTION TO RECOMMIT.,HR 5728. AUTHORIZE THE DISPOSAL OF THE GOV'T-OWNED RUBBER- PRODUCING FACILITIES. ON MOTION TO RECOMMIT.,7,704,7,704
2239,84,1,112,RH0840112,6/13/56,1956,6,13,NA,NA,165,213,0.076,0.014,-0.26,-0.045,-108.151,HR9540,NA,NA,NA,HR 9540. WATER POLLUTION. EXTEND AND STRENGTHEN THE WATER POLLUTION CONTROL ACT. MOTION TO RECOMMIT. REJECTED.,HR 9540. WATER POLLUTION. EXTEND AND STRENGTHEN THE WATER POLLUTION CONTROL ACT. MOTION TO RECOMMIT. REJECTED.,7,701,7,701
2241,84,1,113,RH0840113,6/13/56,1956,6,13,NA,NA,338,31,0.421,0.54,0.181,0.161,-81.785,HR9540,NA,NA,NA,HR 9540. EXTEND AND STRENGTHEN WATER POLLUTION CONTROL ACT. PASSED.,HR 9540. EXTEND AND STRENGTHEN WATER POLLUTION CONTROL ACT. PASSED.,7,701,7,701
2405,84,1,98,RH0840098,5/3/56,1956,5,3,NA,NA,184,211,-0.292,-0.741,-0.331,0.72,-39.386,HR10875,NA,NA,NA,HR 10875. FARM PROGRAM. MOTION TO RECOMMIT TO AGRICULTURE COMMITTEE WITH INSTRUCTIONS TO WRITE IN AN ADVANCE PAYMENT PROVISION FOR SOIL BANK PROGRAM. REJECTED.,HR 10875. FARM PROGRAM. MOTION TO RECOMMIT TO AGRICULTURE COMMITTEE WITH INSTRUCTIONS TO WRITE IN AN ADVANCE PAYMENT PROVISION FOR SOIL BANK PROGRAM. REJECTED.,7,711,7,711
2461,85,1,26,RH0850026,4/4/57,1957,4,4,NA,NA,185,231,0.069,0.046,-0.226,-0.115,-139.809,HR6287,NA,NA,NA,"HR 6287. FISCAL 1958 APPROPRIATIONS FOR DRPARTMENTS OF LABOR, AND HEALTH EDUCATION AN D WELFARE. AMENDMENT TO CUT FUNDDS FOR SEWAGE PLANT CONSTRUCTION BY STATES. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.","HR 6287. FISCAL 1958 APPROPRIATIONS FOR DRPARTMENTS OF LA- BOR, AND HEALTH EDUCATION AN D WELFARE. AMENDMENT TO CUT FUNDDS FOR SEWAGE PLANT CONSTRUCTION BY STATES. REJECTED. NAY SUPPORTS PRESIDENT'S POSITION.",7,703,7,703
3063,86,1,29,RH0860029,6/9/59,1959,6,9,NA,NA,156,240,0.01,0.089,-0.302,-0.001,-77.74,HR3610,NA,NA,NA,HR 3610. BILL TO AMEND 1948 WATER POLLUTION CONTROL ACT TO DOUBLE FEDERAL CONTRIBUTIONS FOR SEWAGE PLANT CONSTRUCTION. MOTION TO RECOMMIT WITH INSTRUCTIONS TO AMEND TO REQUIRE STATES TO MATCH FEDERAL GRANTS. REJECTED.,HR 3610. BILL TO AMEND 1948 WATER POLLUTION CONTROL ACT TO DOUBLE FEDERAL CONTRIBUTIONS FOR SEWAGE PLANT CONSTRUCTION. MOTION TO RECOMMIT WITH INSTRUCTIONS TO AMEND TO REQUIRE STATES TO MATCH FEDERAL GRANTS. REJECTED.,7,703,7,703
3067,86,1,30,RH0860030,6/9/59,1959,6,9,NA,NA,255,143,0.067,-0.03,0.242,0.051,-104.316,HR3610,NA,NA,NA,HR 3610. AMEND WATER POLLUTION CONTROL ACT. PASSED. NAY SUPPORTS PRESIDENT'S POSITION.,HR 3610. AMEND WATER POLLUTION CONTROL ACT. PASSED. NAY SUPPORTS PRESIDENT'S POSITION.,7,701,7,701
3493,86,1,92,RH0860092,2/25/60,1960,2,25,NA,NA,249,157,0.031,-0.218,0.31,0.033,-85.629,HR3610,NA,NA,NA,HR 3610. AMEND 1948 WATER POLUTION CONTROL ACT BY RAISING T/ $90 MILLION ANNUALLY THE FEDERAL CONTRIBUTIONS FOR SEWAGE PLANT CONSTRUCTION. PASSAGE OVER PRESIDENT'S VETO. FAILED.,HR 3610. AMEND 1948 WATER POLUTION CONTROL ACT BY RAISING T/ $90 MILLION ANNUALLY THE FEDERAL CONTRIBUTIONS FOR SEWAGE PLANT CONSTRUCTION. PASSAGE OVER PRESIDENT'S VETO. FAILED.,7,703,7,703
3671,87,1,24,RH0870024,5/3/61,1961,5,3,NA,NA,165,256,0.052,0.006,-0.274,0.03,-90.396,HR6441,NA,NA,NA,H.R. 6441. FEDERAL WATER POLLUTION CONTROL ACT AMENDMENTS OF 1961. INCREASE AND EXTEND FEDERAL GRANTS TO HELP STATES CONSTRUCT SEWAGE PLANTS. CRAMER MOTION TO RECOMMIT WITH INSTRUCTIONS TO REDUCE ANNUAL AUTHORIZATION AND REQUIRE STATES TO MATCH FEDERAL GRANTS WHICH EXCEED ORIGINAL ALLOTMENT. REJECTED.,H.R. 6441. FEDERAL WATER POLLUTION CONTROL ACT AMENDMENTS OF 1961. INCREASE AND EXTEND FEDERAL GRANTS TO HELP STATES CONSTRUCT SEWAGE PLANTS. CRAMER MOTION TO RECOMMIT WITH INSTRUCTIONS TO REDUCE ANNUAL AUTHORIZATION AND REQUIRE STATES TO MATCH FEDER,7,703,7,703
3673,87,1,25,RH0870025,5/3/61,1961,5,3,NA,NA,308,110,0.172,0.22,0.226,0.188,-127.062,HR6441,NA,NA,NA,H.R. 6441. FEDERAL WATER POLLUTION CONTROL ACT AMENDMENTS OF 1961. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.,H.R. 6441. FEDERAL WATER POLLUTION CONTROL ACT AMENDMENTS OF 1961. PASSED. YEA SUPPORTS PRESIDENT'S POSITION.,7,701,7,701
4199,88,1,104,RH0880104,12/10/63,1963,12,10,NA,NA,273,109,0.184,0.085,0.236,0.138,-123.178,HR6518,NA,NA,NA,H.R. 6518. THE CLEAN AIR ACT. ADOPTION OF CONFERENCE REPORT.,H.R. 6518. THE CLEAN AIR ACT. ADOPTION OF CONFERENCE REPORT.,7,705,7,705
4404,88,1,47,RH0880047,7/24/63,1963,7,24,NA,NA,273,102,0.198,0.063,0.221,0.087,-118.816,HR6518,NA,NA,NA,H.R. 6518. THE CLEAN AIR ACT. PASSAGE.,H.R. 6518. THE CLEAN AIR ACT. PASSAGE.,7,705,7,705
4597,88,1,187,RH0880187,7/22/64,1964,7,22,NA,NA,338,8,0,0,0,0,0,HR3846,NA,NA,NA,"H.R. 3846. ESTABLISH A LAND AND WATER CONSERVATION FUND. ADOPTION OF H. RES. 738 PROVIDING AN OPEN RULE FOR CONSIDERATION OF ALL OF H.R. 3846 BUT SECTION 7 AND TITLE II, WHICH WERE TO BE CONSIDERED UNDER A CLOSED RULE.","H.R. 3846. ESTABLISH A LAND AND WATER CONSERVATION FUND. ADOPTION OF H. RES. 738 PROVIDING AN OPEN RULE FOR CONSIDERATION OF ALL OF H.R. 3846 BUT SECTION 7 AND TITLE II, WHICH WERE TO BE CONSIDERED UNDER A CLOSED RULE.",7,711,7,711
4633,88,1,223,RH0880223,9/1/64,1964,9,1,NA,NA,235,111,0.148,0.196,0.139,0.273,-157.971,HR4487,NA,NA,NA,"H.R. 4487. PROVIDE FOR COORDINATION OF INTERIOR AND AGRICULTURE DEPARTMENT PROGRAMS DESIGNED TO MINIMIZE THE EFFECTS OF INSECTICIDES AND PESTICIDES ON FISH AND WILDLIFE, AND INCREASE THE INTERIOR DEPARTMENT'S ANNUAL AUTHORIZATION FOR PESTICIDE RESEARCH. BONNER MOTION TO PASS THE BILL UNDER SUSPENSION OF THE RULES.","H.R. 4487. PROVIDE FOR COORDINATION OF INTERIOR AND AGRICULTURE DEPARTMENT PROGRAMS DESIGNED TO MINIMIZE THE EFFECTS OF INSECTICIDES AND PESTICIDES ON FISH AND WILD- LIFE, AND INCREASE THE INTERIOR DEPARTMENT'S ANNUAL AUTHORIZATION FOR PESTICIDE RESEAR",7,704,7,704
5081,89,1,161,RH0890161,9/21/65,1965,9,21,NA,NA,381,0,0,0,0,0,0,S4,NA,NA,NA,"TO AGREE TO CONFERENCE REPORT ON S. 4, WATER QUALITY ACT OF 1965.","TO AGREE TO CONFERENCE REPORT ON S. 4, WATER QUALITY ACT OF 1965.",7,701,7,701
5090,89,1,166,RH0890166,9/23/65,1965,9,23,NA,NA,280,70,0.263,0.488,0.256,-0.182,-63.823,HR10232,NA,NA,NA,"TO ORDER THE PREVIOUS QUESTION ON H. RES. 580, THE OPEN RULE PROVIDING FOR 2 HOURS OF DEBATE ON H.R. 10232, A BILL TO DEVELOP WATER AND SANITATION SYSTEMS IN RURAL AREAS.","TO ORDER THE PREVIOUS QUESTION ON H. RES. 580, THE OPEN RULE PROVIDING FOR 2 HOURS OF DEBATE ON H.R. 10232, A BILL TO DEVELOP WATER AND SANITATION SYSTEMS IN RURAL AREAS.",7,701,7,701
5092,89,1,167,RH0890167,9/23/65,1965,9,23,NA,NA,326,10,0.514,-0.788,0.122,-0.427,-41.749,HR10232,NA,NA,NA,"TO PASS H.R. 10232, A BILL TO DEVELOP WATER SANITATION SYSTEMS IN RURAL AREAS.","TO PASS H.R. 10232, A BILL TO DEVELOP WATER SANITATION SYSTEMS IN RURAL AREAS.",7,701,7,701
5094,89,1,168,RH0890168,9/24/65,1965,9,24,NA,NA,80,220,0.166,-0.231,-0.257,-0.205,-79.416,S306,NA,NA,NA,"TO RECOMMIT S. 306, A PROGRAM TO CLEAN AIR POLLUTION, WITH INSTRUCTIONS TO DELETE THE PROVISIONS FOR SOLID WASTE DISPOSAL.","TO RECOMMIT S. 306, A PROGRAM TO CLEAN AIR POLLUTION, WITH INSTRUCTIONS TO DELETE THE PROVISIONS FOR SOLID WASTE DISPOSAL.",7,703,7,703
5096,89,1,169,RH0890169,9/24/65,1965,9,24,NA,NA,294,4,0,0,0,0,0,S306,NA,NA,NA,"TO PASS S. 306, A PROGRAM TO CLEAN AIR POLLUTION.","TO PASS S. 306, A PROGRAM TO CLEAN AIR POLLUTION.",7,705,7,705
5269,89,1,41,RH0890041,4/28/65,1965,4,28,NA,NA,396,0,0,0,0,0,0,S4,NA,NA,NA,"TO PASS S. 4, THE WATER QUALITY ACT OF 1965.","TO PASS S. 4, THE WATER QUALITY ACT OF 1965.",7,701,7,701
5655,89,1,354,RH0890354,9/30/66,1966,9,30,NA,NA,313,0,0,0,0,0,0,HR16076,NA,NA,NA,"TO PASS H.R. 16076, THE WATER POLUTION CONTROL AMENDMENTS AND CLEAN RIVERS RESTORATION ACT.","TO PASS H.R. 16076, THE WATER POLUTION CONTROL AMENDMENTS AND CLEAN RIVERS RESTORATION ACT.",7,701,7,701
5693,89,1,374,RH0890374,10/17/66,1966,10,17,NA,NA,247,0,0,0,0,0,0,S2947,NA,NA,NA,"TO ADOPT THE CONFERENCE REPORT ON S. 2947, THE CLEAN WATER RESTORATION ACT OF 1966.","TO ADOPT THE CONFERENCE REPORT ON S. 2947, THE CLEAN WATER RESTORATION ACT OF 1966.",7,701,7,701
5897,90,1,122,RH0900122,8/28/67,1967,8,28,NA,NA,118,109,0.086,-0.66,0.104,0.058,-125.061,HR8965,NA,NA,NA,"TO PASS H.R. 8965, A BILL TO INCREASE THE FEDERAL CONTRIBUTION TO THE POTOMAC INTERCEPTOR SEWER FROM DULLES AIRPORT IN ORDER TO PROTECT THE POTOMAC FROM POLLUTION.","TO PASS H.R. 8965, A BILL TO INCREASE THE FEDERAL CONTRIBUTION TO THE POTOMAC INTERCEPTOR SEWER FROM DULLES AIRPORT IN ORDER TO PROTECT THE POTOMAC FROM POLLUTION.",7,703,7,703
6043,90,1,190,RH0900190,11/2/67,1967,11,2,NA,NA,362,0,0,0,0,0,0,S780,NA,NA,NA,"TO PASS S. 780, AMENDMENTS TO THE CLEAN AIR ACT, PROVIDING FOR PLANNING GRANTS TO AIR POLLUTION CONTROL AGENCIES, EXPANSION OF RESEARCH PROVISIONS RELATING TO FUELS AND VEHICLES, INTERSTATE AIR POLLUTION CONTROL AGENCIES, AND THE ESTABLISHMENT OF AIR QUALITY STANDARDS.","TO PASS S. 780, AMENDMENTS TO THE CLEAN AIR ACT, PROVIDING FOR PLANNING GRANTS TO AIR POLLUTION CONTROL AGENCIES, EXPANSION OF RESEARCH PROVISIONS RELATING TO FUELS AND VEHICLES, INTERSTATE AIR POLLUTION CONTROL AGENCIES, AND THE ESTABLISHMENT OF AIR QU",7,705,7,705
6270,90,1,44,RH0900044,4/27/67,1967,4,27,NA,NA,158,231,0.065,0.086,-0.196,-0.013,-125.487,HR9029,NA,NA,NA,"TO RECOMMIT H.R. 9029, DEPT. OF THE INTERIOR AND RELATED AGENCIES APPROPRIATION BILL, 1968, WITH INSTRUCTIONS TO LIMIT THE EXPENDITURES OF THE DEPT. OF INTERIOR TO 95% OF THE TOTAL FUNDS APPROPRIATED FOR THAT DEPARTMENT IN THE BUDGET FOR FISCAL 1968.","TO RECOMMIT H.R. 9029, DEPT. OF THE INTERIOR AND RELATED AGENCIES APPROPRIATION BILL, 1968, WITH INSTRUCTIONS TO LIMIT THE EXPENDITURES OF THE DEPT. OF INTERIOR TO 95% OF THE TOTAL FUNDS APPROPRIATED FOR THAT DEPARTMENT IN THE BUDGET FOR FISCAL 1968.",7,701,7,701
