congress,party_code,chamber,type,median
88,100,House,median_coord1D,0.06617433950304985
88,100,House,median_dim1,-0.3445
88,200,House,median_coord1D,0.23933348804712296
88,200,House,median_dim1,0.2445
89,100,House,median_coord1D,0.051693832501769066
89,100,House,median_dim1,-0.35
89,200,House,median_coord1D,0.24253876507282257
89,200,House,median_dim1,0.243
90,100,House,median_coord1D,0.052420154213905334
90,100,House,median_dim1,-0.347
90,200,House,median_coord1D,0.24461078643798828
90,200,House,median_dim1,0.243
91,100,House,median_coord1D,0.052420154213905334
91,100,House,median_dim1,-0.345
91,200,House,median_coord1D,0.25305792689323425
91,200,House,median_dim1,0.246
92,100,House,median_coord1D,0.04489234276115894
92,100,House,median_dim1,-0.3475
92,200,House,median_coord1D,0.24706457555294037
92,200,House,median_dim1,0.246
93,100,House,median_coord1D,0.02929653413593769
93,100,House,median_dim1,-0.351
93,200,House,median_coord1D,0.25305792689323425
93,200,House,median_dim1,0.25
93,329,House,median_coord1D,-0.27013614773750305
93,329,House,median_dim1,-0.418
94,100,House,median_coord1D,-0.006486046593636274
94,100,House,median_dim1,-0.338
94,200,House,median_coord1D,0.2544797956943512
94,200,House,median_dim1,0.25
94,329,House,median_coord1D,-0.27013614773750305
94,329,House,median_dim1,-0.418
95,100,House,median_coord1D,-0.013559091836214066
95,100,House,median_dim1,-0.323
95,200,House,median_coord1D,0.2729150652885437
95,200,House,median_dim1,0.262
95,329,House,median_coord1D,-0.27013614773750305
95,329,House,median_dim1,-0.418
96,100,House,median_coord1D,-0.029411448165774345
96,100,House,median_dim1,-0.321
96,200,House,median_coord1D,0.29423987865448
96,200,House,median_dim1,0.279
96,329,House,median_coord1D,-0.27013614773750305
96,329,House,median_dim1,-0.418
97,100,House,median_coord1D,-0.035550557076931
97,100,House,median_dim1,-0.319
97,200,House,median_coord1D,0.3302444815635681
97,200,House,median_dim1,0.306
97,328,House,median_coord1D,-0.40177884697914124
97,328,House,median_dim1,-0.506
97,329,House,median_coord1D,-0.27013614773750305
97,329,House,median_dim1,-0.418
98,100,House,median_coord1D,-0.06501583009958267
98,100,House,median_dim1,-0.3155
98,200,House,median_coord1D,0.3589017689228058
98,200,House,median_dim1,0.328
98,328,House,median_coord1D,-0.40177884697914124
98,328,House,median_dim1,-0.506
98,329,House,median_coord1D,-0.27013614773750305
98,329,House,median_dim1,-0.418
