"","icpsr","name","party_code","state_abbrev","ambiguity","dim1","dim2","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","se1D","prop1","prop2","prop3","chamber"
"1","195","ANDREWS, George William","100","AL",0,-0.03,"1",12,2,0,8,0.637914061546326,0.909090909090909,0.26684308052063,0,85.7142857142857,100,92.8571428571429,"House"
"2","5058","JONES, Robert Emmett, Jr.","100","AL",0,-0.358,"0.866",53,11,3,26,0.70294851064682,0.849462365591398,0.172967255115509,0,82.8125,89.6551724137931,86.2338362068966,"House"
"3","7845","RHODES, John Jacob","200","AZ",0,0.225,"-0.033",93,23,4,42,0.69072812795639,0.833333333333333,0.262373685836792,0,80.1724137931034,91.304347826087,85.7383808095952,"House"
"4","10566","UDALL, Morris King","100","AZ",0,-0.387,"0.008",153,13,7,59,0.791726231575012,0.913793103448276,-0.1083093136549,0,92.1686746987952,89.3939393939394,90.7813070463673,"House"
"5","6532","MILLS, Wilbur Daigh","100","AR",0,-0.237,"0.894",47,10,7,18,0.643446922302246,0.792682926829268,0.173917442560196,0,82.4561403508772,72,77.2280701754386,"House"
"6","10579","CLAUSEN, Donald Holst","200","CA",0,0.16,"0.036",108,17,11,39,0.710978090763092,0.84,0.169273272156715,0,86.4,78,82.2,"House"
"7","4957","JOHNSON, Harold Terry","100","CA",0,-0.439,"0.503",101,14,8,42,0.723439395427704,0.866666666666667,0.099089577794075,0,87.8260869565217,84,85.9130434782609,"House"
"8","6756","MOSS, John Emerson","100","CA",0,-0.582,"0.191",80,10,3,27,0.782874047756195,0.891666666666667,-0.201749473810196,0,88.8888888888889,90,89.4444444444444,"House"
"9","10599","LEGGETT, Robert Louis","100","CA",0,-0.468,"0.158",87,10,9,31,0.753511250019073,0.861313868613139,0.00951307360082865,0,89.6907216494845,77.5,83.5953608247423,"House"
"10","5929","MAILLIARD, William Somers","200","CA",0,0.117,"-0.484",35,2,4,11,0.710519373416901,0.884615384615385,0.0656621977686882,0,94.5945945945946,73.3333333333333,83.963963963964,"House"
"11","6483","MILLER, George Paul","100","CA",0,-0.426,"0.204",21,1,1,11,0.787448823451996,0.941176470588235,0.0872156023979187,0,95.4545454545455,91.6666666666667,93.5606060606061,"House"
"12","10583","EDWARDS, William Donlon (Don)","100","CA",0,-0.599,"-0.419",201,7,9,81,0.888895571231842,0.946308724832215,-0.378595292568207,0,96.6346153846154,90,93.3173076923077,"House"
"13","3867","GUBSER, Charles Samuel","200","CA",0,0.205,"-0.178",30,3,4,9,0.72250485420227,0.847826086956522,0.154448211193085,0,90.9090909090909,69.2307692307692,80.0699300699301,"House"
"14","10631","TALCOTT, Burt Lacklen","200","CA",0,0.25,"-0.115",66,11,6,26,0.694898962974548,0.844036697247706,0.229197591543198,0,85.7142857142857,81.25,83.4821428571429,"House"
"15","9240","TEAGUE, Charles McKevett","200","CA",0,0.243,"-0.227",29,9,2,15,0.688760042190552,0.8,0.22459189593792,0,76.3157894736842,88.2352941176471,82.2755417956656,"House"
"16","6240","McFALL, John Joseph","100","CA",0,-0.468,"0.442",89,9,4,39,0.744386672973633,0.907801418439716,0.0833084657788277,0,90.8163265306122,90.6976744186046,90.7570004746084,"House"
"17","8549","SISK, Bernice Frederic","100","CA",0,-0.388,"0.52",74,8,5,32,0.714999318122864,0.890756302521008,0.145674422383308,0,90.2439024390244,86.4864864864865,88.3651944627554,"House"
"18","4514","HOLIFIELD, Chester Earl","100","CA",0,-0.467,"0.218",32,2,0,18,0.768890142440796,0.961538461538462,0.112970031797886,0,94.1176470588235,100,97.0588235294118,"House"
"19","8628","SMITH, H. Allen","200","CA",0,0.421,"0.026",17,5,3,12,0.627088069915771,0.783783783783784,0.40397721529007,0,77.2727272727273,80,78.6363636363636,"House"
"20","10595","HAWKINS, Augustus Freeman (Gus)","100","CA",0,-0.517,"-0.369",144,10,3,65,0.850172579288483,0.941441441441441,-0.227225661277771,0,93.5064935064935,95.5882352941177,94.5473644003056,"House"
"21","10511","CORMAN, James Charles","100","CA",0,-0.53,"0.098",91,13,8,29,0.79059511423111,0.851063829787234,-0.135832712054253,0,87.5,78.3783783783784,82.9391891891892,"House"
"22","10580","CLAWSON, Delwin Morgan","200","CA",0,0.483,"0.132",56,8,7,42,0.71121621131897,0.867256637168142,0.444447159767151,0,87.5,85.7142857142857,86.6071428571429,"House"
